query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.5,0.9999749993749844,0.0,0.40403600,0.05162600,0.81462500,0.86625100,1.27028700,39998,0,2,1.0,1.0,1,40000,87782.171873
1,0.95,0.9995249881247031,0.0,0.64244700,0.07096200,0.55598100,0.62694300,1.26939000,39980,0,20,1.0,19.0,1,40000,56067.417148
2,0.0,1.0,0.0,0.40977700,0.03400400,0.38398900,0.41799300,0.82777000,39999,0,1,1.0,0.0,1,40000,90132.294983
3,0.95,0.9995249881247031,0.0,0.67473300,0.07327800,0.59989300,0.67317100,1.34790400,39980,0,20,1.0,19.0,1,40000,53473.812551
4,0.0,1.0,0.0,0.39180800,0.04287000,0.33755200,0.38042200,0.77223000,39999,0,1,1.0,0.0,1,40000,92019.839973
5,0.5,0.9999749993749844,0.0,0.29946600,0.07042100,0.45498200,0.52540300,0.82486900,39998,0,2,1.0,1.0,1,40000,108138.431467
6,0.5,0.9999749993749844,0.0,0.21240800,0.06768700,0.49129900,0.55898600,0.77139400,39998,0,2,1.0,1.0,1,40000,142805.119692
7,0.4,0.9999499962497187,0.0,0.22930900,0.16817400,0.50918300,0.67735700,0.90666600,39995,0,5,3.0,2.0,3,40000,100625.687136
8,0.4,0.9999499962497187,0.0,0.24844400,0.17524700,0.51088500,0.68613200,0.93457600,39995,0,5,3.0,2.0,3,40000,94401.344376
9,0.0,1.0,0.0,0.29131000,0.04670700,0.97570700,1.02241400,1.31372400,39999,0,1,1.0,0.0,1,40000,118334.284962
10,0.7142857142857143,0.9998749937496875,0.0,0.45533800,0.09941500,0.48057900,0.57999400,1.03533200,39993,0,7,2.0,5.0,2,40000,72100.556464
11,0.5,0.9999749993749844,0.0,0.22995000,0.08297500,0.46136400,0.54433900,0.77428900,39998,0,2,1.0,1.0,1,40000,127822.960773
12,0.2857142857142857,0.9999499937492187,0.0,0.44186200,0.14198600,0.35308200,0.49506800,0.93693000,39993,0,7,5.0,2.0,5,40000,68502.418438
13,0.5,0.9999749993749844,0.0,0.21477200,0.05090600,0.48201800,0.53292400,0.74769600,39998,0,2,1.0,1.0,1,40000,150554.430551
14,0.95,0.9995249881247031,0.0,0.77895300,0.07233400,0.77933900,0.85167300,1.63062600,39980,0,20,1.0,19.0,1,40000,46986.503964
15,0.4,0.9999499962497187,0.0,0.28043500,0.16740300,0.62510100,0.79250400,1.07293900,39995,0,5,3.0,2.0,3,40000,89311.313466
16,0.2857142857142857,0.9999499937492187,0.0,0.45118400,0.12165700,0.36548500,0.48714200,0.93832600,39993,0,7,5.0,2.0,5,40000,69818.675688
17,0.4,0.9999499962497187,0.0,0.23174400,0.16576000,0.46115300,0.62691300,0.85865700,39995,0,5,3.0,2.0,3,40000,100620.371116
18,0.25,0.9999749981248593,0.0,0.47188800,0.10437500,0.35753000,0.46190500,0.93379300,39996,0,4,3.0,1.0,3,40000,69407.544819
19,0.4,0.9999499962497187,0.0,0.22863800,0.16247300,0.47457800,0.63705100,0.86568900,39995,0,5,3.0,2.0,3,40000,102265.085871
20,0.5,0.9999749993749844,0.0,0.37541200,0.03931300,0.57388400,0.61319700,0.98860900,39998,0,2,1.0,1.0,1,40000,96447.043221
21,0.2857142857142857,0.9999499937492187,0.0,0.42371300,0.12727600,0.38884800,0.51612400,0.93983700,39993,0,7,5.0,2.0,5,40000,72587.656015
22,0.0,1.0,0.0,0.98136700,0.05851900,0.67906100,0.73758000,1.71894700,39999,0,1,1.0,0.0,1,40000,38464.793256
23,0.0,1.0,0.0,0.64730700,0.05532400,0.54587100,0.60119500,1.24850200,39999,0,1,1.0,0.0,1,40000,56927.462637
24,0.5,0.9999749993749844,0.0,0.34214000,0.03982500,0.50321200,0.54303700,0.88517700,39998,0,2,1.0,1.0,1,40000,104719.018758
25,0.7142857142857143,0.9998749937496875,0.0,0.42256600,0.08841400,0.34303200,0.43144600,0.85401200,39993,0,7,2.0,5.0,2,40000,78277.036283
26,0.96,0.999399984999625,0.0,0.92712600,0.08481700,0.61890800,0.70372500,1.63085100,39975,0,25,1.0,24.0,1,40000,39526.929876
27,0.95,0.9995249881247031,0.0,0.64522300,0.06943100,0.55446700,0.62389800,1.26912100,39980,0,20,1.0,19.0,1,40000,55969.742001
28,0.0,1.0,0.0,0.60999100,0.05637500,0.51540500,0.57178000,1.18177100,39999,0,1,1.0,0.0,1,40000,60025.571533
29,0.875,0.9998249956248906,0.0,0.40462800,0.05568400,0.33631900,0.39200300,0.79663100,39992,0,8,1.0,7.0,1,40000,86895.410070
30,0.0,1.0,0.0,0.24944100,0.04768900,0.77025200,0.81794100,1.06738200,39999,0,1,1.0,0.0,1,40000,134617.844041
31,0.0,1.0,0.0,0.55166200,0.03390400,0.39937700,0.43328100,0.98494300,39999,0,1,1.0,0.0,1,40000,68308.269264
32,0.0,1.0,0.0,0.61606300,0.05479200,0.53466100,0.58945300,1.20551600,39999,0,1,1.0,0.0,1,40000,59623.912768
