query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.0,1.0,0.0,7.89809700,0.09399600,5.61305000,5.70704600,13.60514300,39999,0,1,1.0,0.0,1,40000,5004.821641
1,0.0,1.0,1.0,0.28201800,0.00000000,0.00000000,0.00000000,0.28201800,22904,17096,0,0.0,0.0,17096,40000,141834.918339
2,0.0,1.0,1.0,0.20228900,0.00000000,0.00000000,0.00000000,0.20228900,2769,37231,0,0.0,0.0,37231,40000,197736.901166
3,0.0,1.0,1.0,0.39684300,0.00000000,0.00000000,0.00000000,0.39684300,39936,64,0,0.0,0.0,64,40000,100795.528710
4,0.0,1.0,1.0,0.45132000,0.00000000,0.00000000,0.00000000,0.45132000,20525,19475,0,0.0,0.0,19475,40000,88628.910751
5,0.0,1.0,1.0,0.18051800,0.00000000,0.00000000,0.00000000,0.18051800,25162,14838,0,0.0,0.0,14838,40000,221584.551125
6,0.0,1.0,1.0,0.28917200,0.00000000,0.00000000,0.00000000,0.28917200,39076,924,0,0.0,0.0,924,40000,138325.979002
7,0.0,1.0,1.0,0.36535400,0.00000000,0.00000000,0.00000000,0.36535400,3336,36664,0,0.0,0.0,36664,40000,109482.857722
8,0.0,1.0,1.0,0.28813000,0.00000000,0.00000000,0.00000000,0.28813000,33902,6098,0,0.0,0.0,6098,40000,138826.224274
9,0.0,1.0,1.0,0.28604600,0.00000000,0.00000000,0.00000000,0.28604600,16633,23367,0,0.0,0.0,23367,40000,139837.648490
10,0.0,1.0,1.0,0.26906400,0.00000000,0.00000000,0.00000000,0.26906400,3336,36664,0,0.0,0.0,36664,40000,148663.515000
11,0.0,1.0,1.0,0.21314900,0.00000000,0.00000000,0.00000000,0.21314900,23195,16805,0,0.0,0.0,16805,40000,187662.151828
12,0.0,1.0,1.0,0.20795000,0.00000000,0.00000000,0.00000000,0.20795000,12142,27858,0,0.0,0.0,27858,40000,192353.931233
13,0.0,1.0,0.0,0.16164200,0.16421600,0.21133900,0.37555500,0.53719700,39897,0,103,103.0,0.0,103,40000,122436.766935
14,0.0,1.0,1.0,0.11166900,0.00000000,0.00000000,0.00000000,0.11166900,16633,23367,0,0.0,0.0,23367,40000,358201.470417
15,0.0,1.0,1.0,0.09568900,0.00000000,0.00000000,0.00000000,0.09568900,26799,13201,0,0.0,0.0,13201,40000,418020.880143
16,0.0,1.0,1.0,0.11039600,0.00000000,0.00000000,0.00000000,0.11039600,3226,36774,0,0.0,0.0,36774,40000,362331.968550
17,0.0,1.0,1.0,0.14411000,0.00000000,0.00000000,0.00000000,0.14411000,2732,37268,0,0.0,0.0,37268,40000,277565.748387
18,0.0,1.0,1.0,0.10897400,0.00000000,0.00000000,0.00000000,0.10897400,31690,8310,0,0.0,0.0,8310,40000,367060.032668
19,0.0,1.0,1.0,0.11845100,0.00000000,0.00000000,0.00000000,0.11845100,14319,25681,0,0.0,0.0,25681,40000,337692.379127
20,0.0,1.0,1.0,0.10832300,0.00000000,0.00000000,0.00000000,0.10832300,12519,27481,0,0.0,0.0,27481,40000,369265.991525
21,0.0,1.0,0.0,0.11742000,0.03713000,0.18184100,0.21897100,0.33639100,39993,0,7,7.0,0.0,7,40000,258770.624393
22,0.0,1.0,1.0,0.08215400,0.00000000,0.00000000,0.00000000,0.08215400,26552,13448,0,0.0,0.0,13448,40000,486890.473988
23,0.0,1.0,1.0,0.09413700,0.00000000,0.00000000,0.00000000,0.09413700,26927,13073,0,0.0,0.0,13073,40000,424912.627341
24,0.0,1.0,1.0,0.11043700,0.00000000,0.00000000,0.00000000,0.11043700,17876,22124,0,0.0,0.0,22124,40000,362197.451941
25,0.0,1.0,1.0,0.10854300,0.00000000,0.00000000,0.00000000,0.10854300,3336,36664,0,0.0,0.0,36664,40000,368517.546042
26,0.0,1.0,1.0,0.14385900,0.00000000,0.00000000,0.00000000,0.14385900,3226,36774,0,0.0,0.0,36774,40000,278050.035104
27,0.0,1.0,1.0,0.15797600,0.00000000,0.00000000,0.00000000,0.15797600,3336,36664,0,0.0,0.0,36664,40000,253203.018180
28,0.0,1.0,1.0,0.14358900,0.00000000,0.00000000,0.00000000,0.14358900,32311,7689,0,0.0,0.0,7689,40000,278572.871181
29,0.0,1.0,1.0,0.18044800,0.00000000,0.00000000,0.00000000,0.18044800,39845,155,0,0.0,0.0,155,40000,221670.508955
30,0.0,1.0,1.0,0.17379500,0.00000000,0.00000000,0.00000000,0.17379500,20525,19475,0,0.0,0.0,19475,40000,230156.218533
31,0.0,1.0,1.0,0.13404100,0.00000000,0.00000000,0.00000000,0.13404100,31690,8310,0,0.0,0.0,8310,40000,298416.156251
32,0.0,1.0,1.0,0.09391600,0.00000000,0.00000000,0.00000000,0.09391600,16633,23367,0,0.0,0.0,23367,40000,425912.517569
33,0.0,1.0,0.0,0.11723000,0.04016500,0.18008800,0.22025300,0.33748300,39993,0,7,7.0,0.0,7,40000,254093.204994
34,0.0,1.0,1.0,0.04789000,0.00000000,0.00000000,0.00000000,0.04789000,2732,37268,0,0.0,0.0,37268,40000,835247.442055
35,0.0,1.0,1.0,0.09891500,0.00000000,0.00000000,0.00000000,0.09891500,3336,36664,0,0.0,0.0,36664,40000,404387.605520
36,0.0,1.0,1.0,0.14078300,0.00000000,0.00000000,0.00000000,0.14078300,2732,37268,0,0.0,0.0,37268,40000,284125.213982
37,0.0,1.0,1.0,0.10385500,0.00000000,0.00000000,0.00000000,0.10385500,3336,36664,0,0.0,0.0,36664,40000,385152.375909
38,0.0,1.0,1.0,0.13255800,0.00000000,0.00000000,0.00000000,0.13255800,9072,30928,0,0.0,0.0,30928,40000,301754.703601
39,0.0,1.0,1.0,0.10474600,0.00000000,0.00000000,0.00000000,0.10474600,32737,7263,0,0.0,0.0,7263,40000,381876.157562
40,0.0,1.0,1.0,0.16274000,0.00000000,0.00000000,0.00000000,0.16274000,16633,23367,0,0.0,0.0,23367,40000,245790.832002
41,0.0,1.0,1.0,0.08803500,0.00000000,0.00000000,0.00000000,0.08803500,37773,2227,0,0.0,0.0,2227,40000,454364.741296
42,0.0,1.0,1.0,0.13724700,0.00000000,0.00000000,0.00000000,0.13724700,17718,22282,0,0.0,0.0,22282,40000,291445.350354
43,0.0,1.0,1.0,0.08964800,0.00000000,0.00000000,0.00000000,0.08964800,12142,27858,0,0.0,0.0,27858,40000,446189.541317
44,0.0,1.0,1.0,0.05523300,0.00000000,0.00000000,0.00000000,0.05523300,39748,252,0,0.0,0.0,252,40000,724204.732678
45,0.0,1.0,1.0,0.06620400,0.00000000,0.00000000,0.00000000,0.06620400,32487,7513,0,0.0,0.0,7513,40000,604193.100115
46,0.0,1.0,1.0,0.08294500,0.00000000,0.00000000,0.00000000,0.08294500,33344,6656,0,0.0,0.0,6656,40000,482247.272289
47,0.0,1.0,1.0,0.10268200,0.00000000,0.00000000,0.00000000,0.10268200,29040,10960,0,0.0,0.0,10960,40000,389552.209735
48,0.0,1.0,1.0,0.06416000,0.00000000,0.00000000,0.00000000,0.06416000,16633,23367,0,0.0,0.0,23367,40000,623441.396509
49,0.0,1.0,1.0,0.10356400,0.00000000,0.00000000,0.00000000,0.10356400,20525,19475,0,0.0,0.0,19475,40000,386234.598895
50,0.0,1.0,1.0,0.07016200,0.00000000,0.00000000,0.00000000,0.07016200,16633,23367,0,0.0,0.0,23367,40000,570109.175907
51,0.0,1.0,1.0,0.09505800,0.00000000,0.00000000,0.00000000,0.09505800,26590,13410,0,0.0,0.0,13410,40000,420795.724715
52,0.0,1.0,1.0,0.12919100,0.00000000,0.00000000,0.00000000,0.12919100,8783,31217,0,0.0,0.0,31217,40000,309619.091113
53,0.0,1.0,1.0,0.16361600,0.00000000,0.00000000,0.00000000,0.16361600,26799,13201,0,0.0,0.0,13201,40000,244474.867984
54,0.0,1.0,1.0,0.08944800,0.00000000,0.00000000,0.00000000,0.08944800,3336,36664,0,0.0,0.0,36664,40000,447187.192559
55,0.0,1.0,1.0,0.06851800,0.00000000,0.00000000,0.00000000,0.06851800,32469,7531,0,0.0,0.0,7531,40000,583788.201640
56,0.0,1.0,1.0,0.07144400,0.00000000,0.00000000,0.00000000,0.07144400,22138,17862,0,0.0,0.0,17862,40000,559879.066122
57,0.0,1.0,1.0,0.08468900,0.00000000,0.00000000,0.00000000,0.08468900,3226,36774,0,0.0,0.0,36774,40000,472316.357496
58,0.0,1.0,1.0,0.09471800,0.00000000,0.00000000,0.00000000,0.09471800,12142,27858,0,0.0,0.0,27858,40000,422306.214236
59,0.0,1.0,1.0,0.08750400,0.00000000,0.00000000,0.00000000,0.08750400,9072,30928,0,0.0,0.0,30928,40000,457121.960139
60,0.0,1.0,1.0,0.07002100,0.00000000,0.00000000,0.00000000,0.07002100,2983,37017,0,0.0,0.0,37017,40000,571257.194270
61,0.0,1.0,1.0,0.07633300,0.00000000,0.00000000,0.00000000,0.07633300,22904,17096,0,0.0,0.0,17096,40000,524019.755545
62,0.0,1.0,1.0,0.09755300,0.00000000,0.00000000,0.00000000,0.09755300,2983,37017,0,0.0,0.0,37017,40000,410033.520240
63,0.0,1.0,1.0,0.08997800,0.00000000,0.00000000,0.00000000,0.08997800,20525,19475,0,0.0,0.0,19475,40000,444553.112983
64,0.0,1.0,1.0,0.08463800,0.00000000,0.00000000,0.00000000,0.08463800,33498,6502,0,0.0,0.0,6502,40000,472600.959380
65,0.0,1.0,1.0,0.14061300,0.00000000,0.00000000,0.00000000,0.14061300,10909,29091,0,0.0,0.0,29091,40000,284468.719108
66,0.0,1.0,1.0,0.08836600,0.00000000,0.00000000,0.00000000,0.08836600,31425,8575,0,0.0,0.0,8575,40000,452662.788855
67,0.0,1.0,1.0,0.14169500,0.00000000,0.00000000,0.00000000,0.14169500,24919,15081,0,0.0,0.0,15081,40000,282296.481880
68,0.0,1.0,1.0,0.11271100,0.00000000,0.00000000,0.00000000,0.11271100,2769,37231,0,0.0,0.0,37231,40000,354889.939757
69,0.0,1.0,1.0,0.14036300,0.00000000,0.00000000,0.00000000,0.14036300,11440,28560,0,0.0,0.0,28560,40000,284975.385251
70,0.0,1.0,1.0,0.10027800,0.00000000,0.00000000,0.00000000,0.10027800,2732,37268,0,0.0,0.0,37268,40000,398891.082790
71,0.0,1.0,1.0,0.08069100,0.00000000,0.00000000,0.00000000,0.08069100,3336,36664,0,0.0,0.0,36664,40000,495718.233756
72,0.0,1.0,1.0,0.08069100,0.00000000,0.00000000,0.00000000,0.08069100,3336,36664,0,0.0,0.0,36664,40000,495718.233756
73,0.0,1.0,1.0,0.25609900,0.00000000,0.00000000,0.00000000,0.25609900,2983,37017,0,0.0,0.0,37017,40000,156189.598554
74,0.0,1.0,1.0,0.07293600,0.00000000,0.00000000,0.00000000,0.07293600,22138,17862,0,0.0,0.0,17862,40000,548426.017330
75,0.0,1.0,1.0,0.07563100,0.00000000,0.00000000,0.00000000,0.07563100,38938,1062,0,0.0,0.0,1062,40000,528883.658817
76,0.0,1.0,1.0,0.04447400,0.00000000,0.00000000,0.00000000,0.04447400,3226,36774,0,0.0,0.0,36774,40000,899401.897738
77,0.0,1.0,1.0,0.08000000,0.00000000,0.00000000,0.00000000,0.08000000,32988,7012,0,0.0,0.0,7012,40000,500000.000000
78,0.0,1.0,1.0,0.04376200,0.00000000,0.00000000,0.00000000,0.04376200,23195,16805,0,0.0,0.0,16805,40000,914035.007541
79,0.0,1.0,1.0,0.04621600,0.00000000,0.00000000,0.00000000,0.04621600,8783,31217,0,0.0,0.0,31217,40000,865501.125151
80,0.0,1.0,1.0,0.10176100,0.00000000,0.00000000,0.00000000,0.10176100,31714,8286,0,0.0,0.0,8286,40000,393077.898212
81,0.0,1.0,1.0,0.09106100,0.00000000,0.00000000,0.00000000,0.09106100,2983,37017,0,0.0,0.0,37017,40000,439265.986536
82,0.0,1.0,1.0,0.06692600,0.00000000,0.00000000,0.00000000,0.06692600,17876,22124,0,0.0,0.0,22124,40000,597675.044079
83,0.0,1.0,1.0,0.08441800,0.00000000,0.00000000,0.00000000,0.08441800,2983,37017,0,0.0,0.0,37017,40000,473832.594944
84,0.0,1.0,1.0,0.07705400,0.00000000,0.00000000,0.00000000,0.07705400,38265,1735,0,0.0,0.0,1735,40000,519116.463779
85,0.0,1.0,1.0,0.08405700,0.00000000,0.00000000,0.00000000,0.08405700,22138,17862,0,0.0,0.0,17862,40000,475867.566056
86,0.0,1.0,1.0,0.08682200,0.00000000,0.00000000,0.00000000,0.08682200,25162,14838,0,0.0,0.0,14838,40000,460712.722582
87,0.0,1.0,1.0,0.06529200,0.00000000,0.00000000,0.00000000,0.06529200,2732,37268,0,0.0,0.0,37268,40000,612632.481774
88,0.0,1.0,1.0,0.06274800,0.00000000,0.00000000,0.00000000,0.06274800,22904,17096,0,0.0,0.0,17096,40000,637470.516989
89,0.0,1.0,1.0,0.05732700,0.00000000,0.00000000,0.00000000,0.05732700,34343,5657,0,0.0,0.0,5657,40000,697751.495805
90,0.0,1.0,1.0,0.08011000,0.00000000,0.00000000,0.00000000,0.08011000,24919,15081,0,0.0,0.0,15081,40000,499313.444014
91,0.0,1.0,1.0,0.06492100,0.00000000,0.00000000,0.00000000,0.06492100,3336,36664,0,0.0,0.0,36664,40000,616133.454506
92,0.0,1.0,1.0,0.08710300,0.00000000,0.00000000,0.00000000,0.08710300,37093,2907,0,0.0,0.0,2907,40000,459226.433073
93,0.0,1.0,1.0,0.08197300,0.00000000,0.00000000,0.00000000,0.08197300,22145,17855,0,0.0,0.0,17855,40000,487965.549632
94,0.0,1.0,1.0,0.09821400,0.00000000,0.00000000,0.00000000,0.09821400,2983,37017,0,0.0,0.0,37017,40000,407273.912070
95,0.0,1.0,1.0,0.05670600,0.00000000,0.00000000,0.00000000,0.05670600,33693,6307,0,0.0,0.0,6307,40000,705392.727401
96,0.0,1.0,1.0,0.08690200,0.00000000,0.00000000,0.00000000,0.08690200,2983,37017,0,0.0,0.0,37017,40000,460288.600953
97,0.0,1.0,1.0,0.09033900,0.00000000,0.00000000,0.00000000,0.09033900,31714,8286,0,0.0,0.0,8286,40000,442776.652387
98,0.0,1.0,1.0,0.11920300,0.00000000,0.00000000,0.00000000,0.11920300,33693,6307,0,0.0,0.0,6307,40000,335562.024446
99,0.0,1.0,1.0,0.07703400,0.00000000,0.00000000,0.00000000,0.07703400,12142,27858,0,0.0,0.0,27858,40000,519251.239712
