dataset,query_set,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),verification_time(ms),query_time(ms),codetree_filtime/fil_num,codetree_fil_num,allfil_num/allfil_time,allfil_num,nonfail
AIDS,Q4R,0.00000,1.00000,0.96000,0.200253,0.065218,0.265471,0.000005,3999882,196449.859679,3999882.0,100
AIDS,Q8R,0.38155,0.81832,0.00000,0.168681,103.777596,103.946276,0.000006,2803036,352.888706,3175542.0,100
AIDS,Q16R,0.70816,0.93836,0.00000,0.313718,18.932541,19.246259,0.000008,3737326,2356.666379,3960586.0,100
AIDS,Q32R,0.55466,0.99277,0.00000,0.644314,2.538447,3.182762,0.000016,3970530,19989.834231,3999316.0,100
AIDS,Q64R,0.50441,0.99939,0.00000,1.315777,2.667691,3.983469,0.000033,3997302,25969.497170,3999708.0,100
AIDS,Q4B,0.22419,0.99883,0.97000,0.039594,0.084177,0.123771,0.000001,3993510,375816.199711,3998171.0,100
AIDS,Q8B,0.07366,0.99997,0.00000,0.050043,0.362558,0.412601,0.000001,3996622,150850.737013,3996750.0,100
AIDS,Q16B,0.25741,0.99963,0.00000,0.277128,0.733043,1.010171,0.000007,3996067,64294.920981,3997453.0,100
AIDS,Q32B,0.38416,0.99990,0.00000,0.424047,0.585319,1.009366,0.000011,3999428,78347.861088,3999819.0,100
AIDS,Q64B,0.46257,0.99880,0.00000,1.449160,2.804724,4.253883,0.000036,3994727,23037.491986,3999498.0,100
