query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.37538619979402676,0.8074993398468445,0.0,0.49225200,252.73500000,13731.70000000,13984.43500000,13984.92725200,3058,0,1942,1264.0,678.0,1213,5000,14.753546
1,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2864,0,2136,0.0,2136.0,0,5000,0.000000
2,0.4789356984478936,0.7176470588235294,0.0,0.43910200,252.35300000,11557.50000000,11809.85300000,11810.29210200,2745,0,2255,1244.0,1011.0,1175,5000,14.858059
3,0.5002219263204616,0.7090862157976252,0.0,0.46344700,254.83700000,21243.60000000,21498.43700000,21498.90044700,2747,0,2253,1202.0,1051.0,1126,5000,14.876590
4,0.4668356569497254,0.7043873729266987,0.0,0.50865200,238.97400000,69.15420000,308.12820000,308.63685200,2633,0,2367,1308.0,1059.0,1262,5000,15.416566
5,0.396385035729298,0.7354096520763187,0.0,0.66869100,235.94300000,51.55020000,287.49320000,288.16189100,2621,0,2379,1453.0,926.0,1436,5000,14.990806
6,0.42304593070104757,0.7057174887892377,0.0,0.46040200,273.59100000,2615.68000000,2889.27100000,2889.73140200,2518,0,2482,1486.0,996.0,1432,5000,12.822412
7,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2622,0,2378,0.0,2378.0,0,5000,0.000000
8,0.2188235294117647,0.8607784431137725,0.0,0.57593800,269.63200000,54.08900000,323.72100000,324.29693800,2875,0,2125,1679.0,446.0,1660,5000,12.290535
9,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2691,0,2309,0.0,2309.0,0,5000,0.000000
10,0.4037626628075253,0.7776301806588736,0.0,0.40341500,266.22300000,148.99800000,415.22100000,415.62441500,2927,0,2073,1296.0,777.0,1236,5000,13.892097
11,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2741,0,2259,0.0,2259.0,0,5000,0.000000
12,0.38562628336755644,0.7320205479452054,0.0,0.52027400,265.94900000,668.36700000,934.31600000,934.83627400,2565,0,2435,1545.0,890.0,1496,5000,12.965848
13,0.3683101559207754,0.7503570408454727,0.0,0.45741600,264.93600000,1121.65000000,1386.58600000,1387.04341600,2627,0,2373,1537.0,836.0,1499,5000,13.048553
14,0.44267822736030826,0.760863908404892,0.0,0.41447500,227.90600000,590.26400000,818.17000000,818.58447500,2924,0,2076,1210.0,866.0,1157,5000,16.599475
15,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2589,0,2411,0.0,2411.0,0,5000,0.000000
16,0.5228842832469776,0.6890885750962773,0.0,0.36029500,259.34300000,9355.23000000,9614.57300000,9614.93329500,2684,0,2316,1183.0,1133.0,1105,5000,14.697542
17,0.5207787345563459,0.6260752688172043,0.0,0.43537500,264.27300000,314.69000000,578.96300000,579.39837500,2329,0,2671,1369.0,1302.0,1280,5000,13.716982
18,0.47924528301886793,0.6958488557743481,0.0,0.43865100,248.96700000,625.05900000,874.02600000,874.46465100,2615,0,2385,1317.0,1068.0,1242,5000,14.767107
19,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2564,0,2436,0.0,2436.0,0,5000,0.000000
20,0.5377398720682303,0.6779877425944841,0.0,0.39299500,253.01700000,33623.80000000,33876.81700000,33877.20999500,2655,0,2345,1181.0,1164.0,1084,5000,15.070440
21,0.502874834144184,0.7066563467492261,0.0,0.29417000,258.36300000,1137.01000000,1395.37300000,1395.66717000,2739,0,2261,1189.0,1072.0,1124,5000,14.733788
22,0.17980295566502463,0.8905547226386806,0.0,0.50995500,270.33200000,55.85830000,326.19030000,326.70025500,2970,0,2030,1687.0,343.0,1665,5000,12.232226
23,0.3864,0.7212925562608193,0.0,0.47470900,267.54400000,171.90000000,439.44400000,439.91870900,2500,0,2500,1590.0,910.0,1534,5000,12.722992
24,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,3066,0,1934,0.0,1934.0,0,5000,0.000000
25,0.4616659759635309,0.699000270197244,0.0,0.46923800,263.72400000,38577.40000000,38841.12400000,38841.59323800,2587,0,2413,1342.0,1071.0,1299,5000,13.845926
26,0.2523076923076923,0.7853403141361257,0.0,0.55323500,253.32100000,50.04160000,303.36260000,303.91583500,2400,0,2600,1965.0,635.0,1944,5000,11.954738
27,0.54411161263849,0.6590383131910517,0.0,0.37893900,254.65000000,995.66200000,1250.31200000,1250.69093900,2563,0,2437,1191.0,1246.0,1111,5000,14.935560
28,0.4915254237288136,0.674331550802139,0.0,0.38726500,269.44600000,7627.03000000,7896.47600000,7896.86326500,2522,0,2478,1331.0,1147.0,1260,5000,13.597286
29,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2760,0,2240,0.0,2240.0,0,5000,0.000000
30,0.4919148936170213,0.6962690488702049,0.0,0.45290800,253.32900000,325.68600000,579.01500000,579.46790800,2650,0,2350,1253.0,1097.0,1194,5000,14.764646
31,0.48134044173648133,0.6525563496426608,0.0,0.41766200,268.51900000,365.88500000,634.40400000,634.82166200,2374,0,2626,1438.0,1188.0,1362,5000,13.244754
32,0.0,0.0,0.0,0.00000000,0.00000000,0.00000000,0.00000000,600000.00000000,2938,0,2062,0.0,2062.0,0,5000,0.000000
33,0.41451209341117595,0.7235817575083426,0.0,0.43466400,273.97800000,26261.20000000,26535.17800000,26535.61266400,2602,0,2398,1467.0,931.0,1404,5000,12.874770
34,0.6302673312188491,0.6675430210325047,0.0,0.51487400,217.54900000,47556.70000000,47774.24900000,47774.76387400,2793,0,2207,881.0,1326.0,816,5000,18.888961
35,0.43043295502311896,0.7190672153635117,0.0,0.39601100,259.96700000,1158.91000000,1418.87700000,1419.27301100,2621,0,2379,1402.0,977.0,1355,5000,13.819167
36,0.41526138279932545,0.7273733739274841,0.0,0.47049100,271.32900000,8222.60000000,8493.92900000,8494.39949100,2628,0,2372,1428.0,944.0,1387,5000,13.142041
37,0.5677966101694916,0.6841974696105185,0.0,0.27978400,242.07000000,32695.40000000,32937.47000000,32937.74978400,2758,0,2242,1035.0,1207.0,969,5000,16.360650
