query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.666110183639399,0.7279545454545454,0.0,7.34535900,293.89700000,77.65050000,371.54750000,378.89285900,3203,0,1797,607.0,1190.0,600,5000,14.582943
1,0.5169350360910605,0.7745762711864407,0.0,6.04973400,319.54700000,88.43280000,407.97980000,414.02953400,3199,0,1801,872.0,929.0,870,5000,12.678260
2,0.3237410071942446,0.8751891074130106,0.0,4.64825100,320.09300000,55.61850000,375.71150000,380.35975100,3471,0,1529,1036.0,493.0,1034,5000,12.206641
3,0.46808510638297873,0.8197590361445783,0.0,6.12887200,334.76900000,69.93750000,404.70650000,410.83537200,3402,0,1598,854.0,744.0,850,5000,12.162000
4,0.6144278606965174,0.7744292237442922,0.0,7.05155900,290.14400000,66.57780000,356.72180000,363.77335900,3392,0,1608,629.0,979.0,620,5000,14.707488
5,0.8174924165824065,0.6514334985988359,0.0,37.50187600,125.16700000,30.14820000,155.31520000,192.81707600,3022,0,1978,361.0,1617.0,361,5000,28.518055
6,0.2701219512195122,0.8835130160399685,0.0,3.40673600,320.27700000,55.85580000,376.13280000,379.53953600,3360,0,1640,1199.0,441.0,1197,5000,11.742944
7,0.8140517696777602,0.6684595524956971,0.0,54.38295200,75.81490000,17.55270000,93.36760000,147.75055200,3107,0,1893,352.0,1541.0,352,5000,35.699514
8,0.6310249307479224,0.7371942778034148,0.0,7.79036200,293.67100000,85.47350000,379.14450000,386.93486200,3195,0,1805,672.0,1133.0,666,5000,14.356732
9,0.8304278922345484,0.6640307758067964,0.0,54.31642800,74.19350000,19.04110000,93.23460000,147.55102800,3107,0,1893,321.0,1572.0,321,5000,36.409638
10,0.6278001148765078,0.7488511029411765,0.0,7.44143800,270.76000000,70.59930000,341.35930000,348.80073800,3259,0,1741,649.0,1092.0,648,5000,15.639747
11,0.8013172338090011,0.6852091418714963,0.0,37.36184800,106.72900000,29.46360000,136.19260000,173.55444800,3178,0,1822,362.0,1460.0,362,5000,32.188026
