dataset,query_set,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),verification_time(ms),query_time(ms),codetree_filtime/fil_num,codetree_fil_num,allfil_num/allfil_time,allfil_num,nonfail
COLLAB,Q4R,0.03701,0.89152,0.00000,0.053309,102.258965,102.312275,0.000048,111591,13.863921,125842.0,100
COLLAB,Q8R,0.12396,0.79573,0.00000,0.092039,149.487880,149.579919,0.000057,161062,15.514142,201528.0,100
COLLAB,Q16R,0.27666,0.73590,0.00000,0.181559,1127.524980,7116.429473,0.000085,210946,16.057843,287899.0,99
COLLAB,Q32R,0.43591,0.72655,0.00000,1.132829,23664.118640,225382.413455,0.000801,91960,13.898760,236717.0,65
COLLAB,Q64R,0.51212,0.76592,0.00000,11.831296,79364.539700,521906.455649,-0.001511,-117483,9.901223,60752.0,15
COLLAB,Q4B,0.01977,0.95631,0.21000,0.157189,84.551168,84.708357,0.000083,189162,25.707663,195006.0,100
COLLAB,Q8B,0.07553,0.88695,0.00000,0.231071,127.448198,127.679270,0.000130,177997,18.061302,202484.0,100
COLLAB,Q16B,0.24007,0.79346,0.00000,0.643345,150.711529,151.354874,0.000275,234016,22.816459,298457.0,100
COLLAB,Q32B,0.47569,0.74430,0.00000,3.071813,176.442205,179.514018,0.001077,285131,25.531980,387583.0,100
COLLAB,Q64B,0.54114,0.77914,0.00000,16.337788,1204.374046,13196.297597,0.005098,314040,14.662025,410689.0,98
