query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.058823529411764705,0.9993261455525606,0.0,0.24943700,0.90156900,0.62363700,1.52520600,1.77464300,1483,0,17,16.0,1.0,16,1500,1289.306919
1,0.8461538461538461,0.9852941176470589,0.0,0.25875400,0.38090500,0.62991900,1.01082400,1.26957800,1474,0,26,4.0,22.0,4,1500,2338.746113
2,0.9583333333333334,0.9846564376250834,0.0,0.22045300,0.20818900,1.65742000,1.86560900,2.08606200,1476,0,24,1.0,23.0,1,1500,3497.090812
3,0.625,0.9933065595716198,0.0,0.28924200,0.41567900,0.70997000,1.12564900,1.41489100,1484,0,16,6.0,10.0,6,1500,2119.386428
4,0.0625,0.9993265993265993,0.0,0.24547000,0.88757300,0.52225700,1.40983000,1.65530000,1484,0,16,15.0,1.0,15,1500,1310.629870
5,0.85,0.9886439545758183,0.0,0.23957800,0.44791700,0.74039600,1.18831300,1.42789100,1480,0,20,3.0,17.0,3,1500,2177.470382
6,0.8214285714285714,0.9846153846153847,0.0,0.24798400,0.40648100,0.63112200,1.03760300,1.28558700,1472,0,28,5.0,23.0,5,1500,2284.308557
7,0.95,0.9873248832555037,0.0,0.24321500,0.28279800,1.05920000,1.34199800,1.58521300,1480,0,20,1.0,19.0,1,1500,2849.739455
8,0.9545454545454546,0.9859906604402935,0.0,0.26503600,0.19941200,0.91852000,1.11793200,1.38296800,1478,0,22,1.0,21.0,1,1500,3227.487254
9,0.9523809523809523,0.9866577718478986,0.0,0.26352400,0.21171600,0.83149600,1.04321200,1.30673600,1479,0,21,1.0,20.0,1,1500,3154.195775
10,0.9444444444444444,0.9886591060707138,0.0,0.25564900,0.25087100,3.25557000,3.50644100,3.76209000,1482,0,18,2.0,16.0,1,1500,2957.435047
