query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.41818181818181815,0.9843324250681199,0.0,0.03820100,0.30974000,0.85197700,1.16171700,1.19991800,1445,0,55,32.0,23.0,32,1500,4219.106113
1,0.5165562913907285,0.9453398738612474,0.0,0.02966500,0.54517800,0.34591200,0.89109000,0.92075500,1349,0,151,73.0,78.0,73,1500,2482.416938
2,0.448,0.9608665269042628,0.0,0.03435400,0.58991700,0.48907700,1.07899400,1.11334800,1375,0,125,69.0,56.0,69,1500,2292.273708
3,0.626984126984127,0.9456297315898142,0.0,0.02846400,0.42890600,0.45446000,0.88336600,0.91183000,1374,0,126,47.0,79.0,47,1500,3176.858998
4,0.6953125,0.9390828199863107,0.0,0.03143900,0.32511200,0.36881800,0.69393000,0.72536900,1372,0,128,39.0,89.0,39,1500,4097.590527
5,0.7358490566037735,0.9470108695652174,0.0,0.02819300,0.24226500,0.33981700,0.58208200,0.61027500,1394,0,106,28.0,78.0,28,1500,5442.619556
6,0.9180327868852459,0.8868686868686869,0.0,0.02262200,0.12988300,0.32497400,0.45485700,0.47747900,1317,0,183,15.0,168.0,15,1500,9737.385659
7,0.5119047619047619,0.9705277587388622,0.0,0.03934300,0.36857700,0.36963500,0.73821200,0.77755500,1416,0,84,41.0,43.0,41,1500,3576.681702
8,0.6338028169014085,0.9694708276797829,0.0,0.02792300,0.31471600,0.33129200,0.64600800,0.67393100,1429,0,71,26.0,45.0,26,1500,4301.903753
9,0.4528301886792453,0.9667128987517337,0.0,0.03832100,0.44073700,0.43797000,0.87870700,0.91702800,1394,0,106,58.0,48.0,58,1500,3010.073937
10,0.4431818181818182,0.9731219848380427,0.0,0.02751100,0.45155700,0.29477100,0.74632800,0.77383900,1412,0,88,49.0,39.0,49,1500,3028.797582
11,0.783625730994152,0.9084073820915927,0.0,0.03113800,0.34186400,0.24148400,0.58334800,0.61448600,1329,0,171,37.0,134.0,37,1500,3922.230980
12,0.34545454545454546,0.9733893557422969,0.0,0.02850300,0.56824000,0.29864700,0.86688700,0.89539000,1390,0,110,72.0,38.0,72,1500,2392.989947
13,0.6235294117647059,0.9638964577656676,0.0,0.03028700,0.22803900,0.37315600,0.60119500,0.63148200,1415,0,85,32.0,53.0,32,1500,5682.741962
14,0.6987951807228916,0.9606779661016949,0.0,0.02556800,0.27441900,0.37299100,0.64741000,0.67297800,1417,0,83,25.0,58.0,25,1500,4916.879731
15,0.648936170212766,0.9584185412406271,0.0,0.04642700,0.26865700,0.34557500,0.61423200,0.66065900,1406,0,94,33.0,61.0,33,1500,4655.901283
16,0.6343283582089553,0.9414197105444521,0.0,0.03147900,0.34919200,0.39290600,0.74209800,0.77357700,1366,0,134,49.0,85.0,49,1500,3811.690410
17,0.8,0.9541469993256911,0.0,0.03092700,0.12767200,0.32288500,0.45055700,0.48148400,1415,0,85,17.0,68.0,17,1500,9350.626423
18,0.5338983050847458,0.956401384083045,0.0,0.03375300,0.41885900,0.44311000,0.86196900,0.89572200,1382,0,118,55.0,63.0,55,1500,3192.579958
19,0.6847826086956522,0.9571719918422842,0.0,0.03140900,0.32511000,0.53346800,0.85857800,0.88998700,1408,0,92,29.0,63.0,29,1500,4126.007310
20,0.1076923076923077,0.9951456310679612,0.0,0.03172900,0.48085900,0.27165800,0.75251700,0.78424600,1435,0,65,58.0,7.0,58,1500,2813.175494
21,0.64,0.9562841530054644,0.0,0.03148900,0.32012400,0.38658200,0.70670600,0.73819500,1400,0,100,36.0,64.0,36,1500,4163.668579
22,0.06722689075630252,0.994240460763139,0.0,0.03299200,0.79245400,0.39340400,1.18585800,1.21885000,1381,0,119,111.0,8.0,111,1500,1682.726671
23,0.6859504132231405,0.9432284541723667,0.0,0.02600800,0.34570500,0.24690200,0.59260700,0.61861500,1379,0,121,38.0,83.0,38,1500,3933.141967
24,0.3879310344827586,0.9685094471658502,0.0,0.02416500,0.52887100,0.33292900,0.86180000,0.88596500,1384,0,116,71.0,45.0,71,1500,2583.918588
25,0.38961038961038963,0.9793530626290433,0.0,0.03445500,0.54945900,1.00665000,1.55610900,1.59056400,1423,0,77,47.0,30.0,47,1500,2488.380138
