dataset,query_set,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),verification_time(ms),query_time(ms),codetree_filtime/fil_num,codetree_fil_num,allfil_num/allfil_time,allfil_num,nonfail
IMDB-MULTI,Q4R,0.22006,0.96511,0.00000,0.031410,0.928936,0.960346,0.000024,130279,2136.401355,135069.0,100
IMDB-MULTI,Q8R,0.36441,0.96886,0.00000,0.048268,1.078743,1.127011,0.000035,139203,2078.489138,143677.0,100
IMDB-MULTI,Q16R,0.62671,0.97560,0.00000,0.077529,1.163716,1.241245,0.000054,144405,2562.159642,147953.0,100
IMDB-MULTI,Q32R,0.61175,0.98499,0.00000,0.132716,2.442472,2.575188,0.000091,146350,2124.876104,148564.0,100
IMDB-MULTI,Q64R,0.75499,0.98869,0.00000,0.249466,5.097560,5.347026,0.000169,147803,2274.833264,149486.0,100
IMDB-MULTI,Q4B,0.13953,0.96933,0.00000,0.025714,0.932185,0.957899,0.000020,126591,1739.882263,130698.0,100
IMDB-MULTI,Q8B,0.50170,0.96236,0.00000,0.032892,0.790466,0.823359,0.000024,139712,3282.676089,145204.0,100
IMDB-MULTI,Q16B,0.65775,0.97477,0.00000,0.059403,0.925612,0.985015,0.000041,144346,3491.006619,148089.0,100
IMDB-MULTI,Q32B,0.87962,0.97700,0.00000,0.138460,1.168890,1.307350,0.000095,146137,4517.676244,149579.0,100
IMDB-MULTI,Q64B,0.96329,0.98114,0.00000,0.311829,1.729496,2.041326,0.000212,147070,3612.669449,149897.0,100
