query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.9545454545454546,0.125,0.0,0.13688600,1.21525000,1.39918000,2.61443000,2.75131600,24,0,176,8.0,168.0,8,200,141.997551
1,0.9736842105263158,0.24489795918367346,0.0,0.19757900,1.02728000,1.33232000,2.35960000,2.55717900,48,0,152,4.0,148.0,4,200,160.018418
2,0.96875,0.3673469387755102,0.0,0.08936700,1.10501000,3.75183000,4.85684000,4.94620700,72,0,128,4.0,124.0,4,200,164.102289
3,0.9777777777777777,0.10204081632653061,0.0,0.14921900,1.08722000,1.13146000,2.21868000,2.36789900,20,0,180,4.0,176.0,4,200,158.519749
4,0.9555555555555556,0.10416666666666667,0.0,0.10780200,1.31565000,1.38715000,2.70280000,2.81060200,20,0,180,8.0,172.0,8,200,134.883368
5,0.975,0.20408163265306123,0.0,0.26457500,1.01954000,1.33780000,2.35734000,2.62191500,40,0,160,4.0,156.0,4,200,152.634305
6,0.9545454545454546,0.125,0.0,0.12399200,1.38469000,1.30442000,2.68911000,2.81310200,24,0,176,8.0,168.0,8,200,127.263399
7,0.975,0.20408163265306123,0.0,0.16678200,1.06872000,1.25105000,2.31977000,2.48655200,40,0,160,4.0,156.0,4,200,158.639970
8,0.9705882352941176,0.32653061224489793,0.0,0.05209700,0.68414800,0.98472200,1.66887000,1.72096700,64,0,136,4.0,132.0,4,200,266.215730
9,0.9743589743589743,0.22448979591836735,0.0,0.11149900,0.93795700,1.34154000,2.27949700,2.39099600,44,0,156,4.0,152.0,4,200,186.763428
10,0.9,0.21739130434782608,0.0,0.13847900,1.68776000,4.18536000,5.87312000,6.01159900,40,0,160,16.0,144.0,16,200,100.753516
11,0.9642857142857143,0.4489795918367347,0.0,0.11351200,0.62199200,1.26970000,1.89169200,2.00520400,88,0,112,4.0,108.0,4,200,266.483935
12,0.9761904761904762,0.16326530612244897,0.0,0.07868700,0.90711800,0.64583900,1.55295700,1.63164400,32,0,168,4.0,164.0,4,200,198.822282
