query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.08,0.0,0.0,0.01478800,12.00930000,0.45463400,12.46393400,12.47872200,0,0,200,184.0,16.0,184,200,1.330662
1,0.02127659574468085,0.75,0.0,0.03029700,10.63480000,0.40716100,11.04196100,11.07225800,12,0,188,184.0,4.0,184,200,1.500221
2,0.17073170731707318,0.5625,0.0,0.02769200,4.53492000,0.30580700,4.84072700,4.86841900,36,0,164,136.0,28.0,136,200,14.027053
3,0.0,1.0,0.0,0.03099800,13.42280000,1.00728000,14.43008000,14.46107800,12,0,188,188.0,0.0,188,200,0.891941
4,0.0,1.0,0.0,0.02585800,10.49180000,0.84799500,11.33979500,11.36565300,12,0,188,188.0,0.0,188,200,1.140938
5,0.0,1.0,0.0,0.03531600,13.24500000,0.51515500,13.76015500,13.79547100,12,0,188,188.0,0.0,188,200,0.903593
6,0.06382978723404255,0.5,0.0,0.02745200,9.79113000,0.43558600,10.22671600,10.25416800,12,0,188,176.0,12.0,176,200,2.444345
7,0.02127659574468085,0.75,0.0,0.02089900,8.23953000,0.41128400,8.65081400,8.67171300,12,0,188,184.0,4.0,184,200,1.936945
8,0.0,1.0,0.0,0.03012600,8.98304000,0.38763400,9.37067400,9.40080000,12,0,188,188.0,0.0,188,200,1.331386
9,0.0,1.0,0.0,0.02820200,16.44410000,1.17768000,17.62178000,17.64998200,12,0,188,188.0,0.0,188,200,0.728496
10,0.02127659574468085,0.75,0.0,0.02712000,14.11430000,0.98591800,15.10021800,15.12733800,12,0,188,184.0,4.0,184,200,1.131428
11,0.0,1.0,0.0,0.02919500,16.45530000,0.54593000,17.00123000,17.03042500,12,0,188,188.0,0.0,188,200,0.727957
12,0.0,1.0,0.0,0.02753200,14.29740000,0.91848400,15.21588400,15.24341600,12,0,188,188.0,0.0,188,200,0.837700
13,0.0,1.0,0.0,0.03297100,16.52560000,0.64266800,17.16826800,17.20123900,12,0,188,188.0,0.0,188,200,0.724700
