dataset,query_set,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),verification_time(ms),query_time(ms),codetree_filtime/fil_num,codetree_fil_num,allfil_num/allfil_time,allfil_num,nonfail
pcms,Q4R,0.04562,0.75334,0.00000,0.026405,11.903931,11.930336,0.001902,1388,1.950068,2212.0,100
pcms,Q8R,0.19239,0.48332,0.03000,0.034067,13.440896,13.474964,0.001201,2836,4.668788,5892.0,100
pcms,Q16R,0.56847,0.18730,0.00000,0.046991,14.634366,14.681356,0.002102,2236,8.881403,11804.0,100
pcms,Q32R,0.87618,0.16038,0.00000,0.068157,17.842646,17.910803,0.002373,2872,15.068448,17316.0,100
pcms,Q64R,0.95728,0.21651,0.00000,0.107305,493.358200,493.465505,0.002565,4184,28.606235,19272.0,100
pcms,Q4B,0.06980,0.69109,0.00000,0.025043,9.488941,9.513984,0.001601,1564,3.077479,2812.0,100
pcms,Q8B,0.38427,0.23763,0.00000,0.037481,4.940141,4.977621,0.002019,1856,20.167995,8688.0,100
pcms,Q16B,0.91139,0.12727,0.00000,0.060363,2.164471,2.224834,0.002562,2356,146.682682,18424.0,100
pcms,Q32B,0.95286,0.17705,0.00000,0.121713,2.653718,2.775431,0.003542,3436,157.308833,19376.0,100
pcms,Q64B,0.96836,0.23595,0.00000,0.265654,3.731885,3.997540,0.005770,4604,124.056969,19524.0,100
