query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.6666666666666666,0.9310344827586207,0.0,2.84629800,2.85595000,2.85237000,5.70832000,8.55461800,540,0,60,20.0,40.0,20,600,101.714271
1,0.8235294117647058,0.48148148148148145,0.0,1.62263700,28.58750000,5.00127000,33.58877000,35.21140700,260,0,340,60.0,280.0,60,600,17.874795
2,0.9411764705882353,0.4482758620689655,0.0,2.49747500,27.67760000,3.25940000,30.93700000,33.43447500,260,0,340,20.0,320.0,20,600,19.221162
3,0.8695652173913043,0.25925925925925924,0.0,1.72796500,28.32040000,8.69987000,37.02027000,38.74823500,140,0,460,60.0,400.0,60,600,17.971028
4,0.5,0.9655172413793104,0.0,3.18495200,1.35056000,2.86006000,4.21062000,7.39557200,560,0,40,20.0,20.0,20,600,127.879719
5,0.8333333333333334,0.4444444444444444,0.0,1.14923100,31.67290000,3.31777000,34.99067000,36.13990100,240,0,360,60.0,300.0,60,600,16.452314
6,0.8888888888888888,0.7241379310344828,0.0,2.24963100,4.20728000,2.63157000,6.83885000,9.08848100,420,0,180,20.0,160.0,20,600,89.826234
7,0.875,0.7586206896551724,0.0,2.30900100,2.42116000,2.85637000,5.27753000,7.58653100,440,0,160,20.0,140.0,20,600,122.617391
8,0.9,0.6896551724137931,0.0,2.21300100,16.39280000,2.99716000,19.38996000,21.60296100,400,0,200,20.0,180.0,20,600,31.173073
9,0.8571428571428571,0.7931034482758621,0.0,2.03727400,1.44678000,2.49458000,3.94136000,5.97863400,460,0,140,20.0,120.0,20,600,166.472735
10,0.9166666666666666,0.6206896551724138,0.0,0.90792000,2.31072000,2.42286000,4.73358000,5.64150000,360,0,240,20.0,220.0,20,600,180.200333
11,0.9333333333333333,0.5172413793103449,0.0,2.69567400,25.90950000,7.77363000,33.68313000,36.37880400,300,0,300,20.0,280.0,20,600,20.276052
12,0.95,0.3448275862068966,0.0,1.76380200,62.99720000,3.11810000,66.11530000,67.87910200,200,0,400,20.0,380.0,20,600,8.956007
13,0.6666666666666666,0.7777777777777778,0.0,2.40093400,176.36900000,4.10770000,180.47670000,182.87763400,420,0,180,60.0,120.0,60,600,3.020642
14,0.95,0.3448275862068966,0.0,1.68989200,310.41900000,3.48837000,313.90737000,315.59726200,200,0,400,20.0,380.0,20,600,1.858326
15,0.8,0.5555555555555556,0.0,1.60863100,12.10970000,3.84417000,15.95387000,17.56250100,300,0,300,60.0,240.0,60,600,39.363389
16,0.5,0.8888888888888888,0.0,2.12791300,14.67130000,3.65583000,18.32713000,20.45504300,480,0,120,60.0,60.0,60,600,32.144363
17,0.0,1.0,0.0,2.52291300,0.69731800,2.66993000,3.36724800,5.89016100,580,0,20,20.0,0.0,20,600,180.111303
18,0.75,0.896551724137931,0.0,1.82348300,3.22567000,2.74413000,5.96980000,7.79328300,520,0,80,20.0,60.0,20,600,114.870752
19,0.9333333333333333,0.5172413793103449,0.0,2.44280300,207.55900000,2.94412000,210.50312000,212.94592300,300,0,300,20.0,280.0,20,600,2.761881
20,0.9375,0.4827586206896552,0.0,2.15029400,52.63740000,7.94656000,60.58396000,62.73425400,280,0,320,20.0,300.0,20,600,10.586319
21,0.5,0.9655172413793104,0.0,2.57926800,1.80231000,3.05078000,4.85309000,7.43235800,560,0,40,20.0,20.0,20,600,132.372401
22,0.6666666666666666,0.7777777777777778,0.0,2.23956200,189.35300000,4.59875000,193.95175000,196.19131200,420,0,180,60.0,120.0,60,600,2.818481
23,0.8571428571428571,0.7931034482758621,0.0,2.43712100,5.98807000,3.07093000,9.05900000,11.49612100,460,0,140,20.0,120.0,20,600,68.841169
24,0.7777777777777778,0.75,0.0,2.03898600,5.75115000,5.36506000,11.11621000,13.15519600,420,0,180,40.0,140.0,40,600,71.885780
25,0.8,0.8620689655172413,0.0,3.58840600,4.76986000,2.72849000,7.49835000,11.08675600,500,0,100,20.0,80.0,20,600,69.392384
26,0.9333333333333333,0.5172413793103449,0.0,2.28175100,25.46090000,3.52559000,28.98649000,31.26824100,300,0,300,20.0,280.0,20,600,20.906438
27,0.8571428571428571,0.3333333333333333,0.0,1.64177200,349.78700000,12.59290000,362.37990000,364.02167200,180,0,420,80.0,340.0,60,600,1.479674
28,0.6666666666666666,0.9310344827586207,0.0,2.64117200,4.33209000,3.08013000,7.41222000,10.05339200,540,0,60,20.0,40.0,20,600,83.174847
29,0.8,0.8620689655172413,0.0,1.69391900,4.31713000,2.72310000,7.04023000,8.73414900,500,0,100,20.0,80.0,20,600,96.488982
30,0.6666666666666666,0.9310344827586207,0.0,1.88683100,3.22195000,2.73095000,5.95290000,7.83973100,540,0,60,20.0,40.0,20,600,113.530018
31,0.9,0.6896551724137931,0.0,2.99484500,8.36935000,2.67565000,11.04500000,14.03984500,400,0,200,20.0,180.0,20,600,51.037491
32,0.9411764705882353,0.4482758620689655,0.0,1.74077800,281.80200000,3.22430000,285.02630000,286.76707800,260,0,340,20.0,320.0,20,600,2.045547
