query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.0,1.0,1.0,0.03748000,0.00000000,0.00000000,0.00000000,0.03748000,320,280,0,0.0,0.0,280,600,16008.537887
1,0.0,1.0,1.0,0.08721300,0.00000000,0.00000000,0.00000000,0.08721300,0,600,0,0.0,0.0,600,600,6879.708300
2,0.0,1.0,1.0,0.03533700,0.00000000,0.00000000,0.00000000,0.03533700,0,600,0,0.0,0.0,600,600,16979.370065
3,0.0,1.0,0.0,0.06725600,117.47200000,8.23826000,125.71026000,125.77751600,20,0,580,580.0,0.0,580,600,0.170156
4,0.4482758620689655,0.07142857142857142,0.0,0.08116200,85.55430000,2.46389000,88.01819000,88.09935200,20,0,580,320.0,260.0,320,600,3.269673
5,0.0,1.0,0.0,0.09953600,31.74750000,3.58251000,35.33001000,35.42954600,320,0,280,280.0,0.0,280,600,10.048031
6,0.0,1.0,0.0,0.06675500,78.10170000,1.82210000,79.92380000,79.99055500,120,0,480,480.0,0.0,480,600,1.535146
7,0.0,1.0,0.0,0.09856500,4.72246000,0.69108300,5.41354300,5.51210800,340,0,260,260.0,0.0,260,600,70.524422
8,0.0,1.0,1.0,0.05810900,0.00000000,0.00000000,0.00000000,0.05810900,0,600,0,0.0,0.0,600,600,10325.422912
9,0.0,1.0,1.0,0.03985500,0.00000000,0.00000000,0.00000000,0.03985500,320,280,0,0.0,0.0,280,600,15054.572826
10,0.0,1.0,0.0,0.06233600,188.01100000,191.21700000,379.22800000,379.29033600,40,0,560,560.0,0.0,560,600,0.212683
11,0.0,1.0,1.0,0.05374100,0.00000000,0.00000000,0.00000000,0.05374100,0,600,0,0.0,0.0,600,600,11164.660129
12,0.0,1.0,1.0,0.01349500,0.00000000,0.00000000,0.00000000,0.01349500,0,600,0,0.0,0.0,600,600,44460.911449
13,0.0,1.0,0.0,0.08976800,68.67780000,2.42901000,71.10681000,71.19657800,140,0,460,460.0,0.0,460,600,2.035843
14,0.0,1.0,0.0,0.06445000,2.42349000,0.49358700,2.91707700,2.98152700,380,0,220,220.0,0.0,220,600,152.736802
15,0.0,1.0,0.0,0.10379400,31.24670000,2.28567000,33.53237000,33.63616400,320,0,280,280.0,0.0,280,600,10.207176
16,0.07692307692307693,0.9444444444444444,0.0,0.09265400,3.34177000,1.53011000,4.87188000,4.96453400,340,0,260,240.0,20.0,240,600,104.821070
17,0.07692307692307693,1.0,1.0,0.03959400,0.00000000,0.00000000,0.00000000,0.03959400,320,280,0,0.0,0.0,280,600,15153.811184
18,0.0,1.0,0.0,0.10378400,32.33290000,2.33971000,34.67261000,34.77639400,320,0,280,280.0,0.0,280,600,9.865373
19,0.0,1.0,0.0,0.10073800,32.37100000,3.65719000,36.02819000,36.12892800,320,0,280,280.0,0.0,280,600,9.854724
20,0.0,1.0,0.0,0.10340300,3.72609000,0.66748200,4.39357200,4.49697500,360,0,240,240.0,0.0,240,600,94.007222
21,0.0,1.0,0.0,0.11752000,98.64960000,3.64930000,102.29890000,102.41642000,60,0,540,540.0,0.0,540,600,0.607490
22,0.0,1.0,0.0,0.08230400,209.66700000,178.75100000,388.41800000,388.50030400,40,0,560,560.0,0.0,560,600,0.190704
23,0.0,1.0,0.0,0.09935600,98.10380000,2.62923000,100.73303000,100.83238600,60,0,540,540.0,0.0,540,600,0.610978
24,0.0,1.0,0.0,0.10445500,15.01250000,1.39690000,16.40940000,16.51385500,320,0,280,280.0,0.0,280,600,21.168284
25,0.0,1.0,0.0,0.09944600,4.12152000,0.66550800,4.78702800,4.88647400,380,0,220,220.0,0.0,220,600,90.026785
26,0.0,1.0,0.0,0.08862600,258.12700000,131.70200000,389.82900000,389.91762600,0,0,600,600.0,0.0,600,600,90.026785
27,0.0,1.0,0.0,0.10707000,32.73350000,3.37210000,36.10560000,36.21267000,320,0,280,280.0,0.0,280,600,9.744045
