dataset,query_set,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),verification_time(ms),query_time(ms),codetree_filtime/fil_num,codetree_fil_num,allfil_num/allfil_time,allfil_num,nonfail
pdbs,Q4R,0.00562,0.99820,0.59000,0.022670,52.849919,52.872589,0.000052,43920,15.394718,43980.0,100
pdbs,Q8R,0.01572,0.91737,0.16000,0.070391,126.092768,126.163159,0.000314,22440,2.403382,22900.0,100
pdbs,Q16R,0.10500,0.78100,0.01000,0.216312,160.348917,160.565229,0.001171,18480,1.534089,21860.0,100
pdbs,Q32R,0.51826,0.59816,0.00000,0.715194,125.683577,126.398772,0.002734,26160,3.693379,43280.0,100
pdbs,Q64R,0.79769,0.64120,0.00000,2.189218,67.903300,70.092519,0.005968,36680,8.655021,57080.0,100
pdbs,Q4B,0.00903,0.98458,0.72000,0.018834,35.780995,35.799830,0.000040,47020,22.278312,47200.0,100
pdbs,Q8B,0.02987,0.92210,0.35000,0.072246,62.083322,62.155569,0.000222,32600,6.922812,33660.0,100
pdbs,Q16B,0.02644,0.92457,0.01000,0.321660,126.705761,127.027422,0.001623,19820,1.780097,20680.0,100
pdbs,Q32B,0.46184,0.66649,0.00000,1.029483,100.068963,101.098446,0.003338,30840,4.664114,45080.0,100
pdbs,Q64B,0.75982,0.68225,0.00000,2.850328,81.631973,84.482301,0.007271,39200,7.122353,57500.0,100
