query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.8333333333333334,0.7368421052631579,0.0,160.73932200,1.35636000,2.47327000,3.82963000,164.56895200,14,0,6,1.0,5.0,1,20,0.117215
1,0.8947368421052632,0.05555555555555555,0.0,0.04603600,9.71858000,4.04339000,13.76197000,13.80800600,1,0,19,3.0,16.0,2,20,1.740980
2,0.9375,0.21052631578947367,0.0,411.35690300,1.66506000,4.20870000,5.87376000,417.23066300,4,0,16,1.0,15.0,1,20,0.046002
3,0.75,0.6666666666666666,0.0,18.41880300,1.42009000,2.71826000,4.13835000,22.55715300,12,0,8,2.0,6.0,2,20,0.907309
4,0.9,0.5263157894736842,0.0,18.76070600,0.33399500,2.73555000,3.06954500,21.83025100,10,0,10,1.0,9.0,1,20,0.995040
5,0.7142857142857143,0.375,0.0,0.14386000,20.37940000,3.37899000,23.75839000,23.90225000,6,0,14,4.0,10.0,4,20,0.779603
6,0.8,0.7894736842105263,0.0,112.40980200,0.44916100,2.62546000,3.07462100,115.48442300,15,0,5,1.0,4.0,1,20,0.168352
7,0.7142857142857143,0.375,0.0,1.63662300,5.73477000,3.17793000,8.91270000,10.54932300,6,0,14,4.0,10.0,4,20,2.170553
8,0.8888888888888888,0.1111111111111111,0.0,0.39642200,3.31521000,1.20452000,4.51973000,4.91615200,2,0,18,2.0,16.0,2,20,4.849619
9,0.6666666666666666,0.7777777777777778,0.0,464.23500600,2.27152000,7.43978000,9.71130000,473.94630600,14,0,6,2.0,4.0,2,20,0.038585
10,0.875,0.2222222222222222,0.0,0.21258800,3.57020000,5.72742000,9.29762000,9.51020800,4,0,16,2.0,14.0,2,20,4.758395
11,0.9411764705882353,0.15789473684210525,0.0,0.67485300,0.35311900,1.32790000,1.68101900,2.35587200,3,0,17,1.0,16.0,1,20,18.482994
12,0.9,0.0,0.0,0.24955700,4.03360000,2.07523000,6.10883000,6.35838700,0,0,20,2.0,18.0,2,20,4.202508
13,0.9166666666666666,0.42105263157894735,0.0,0.08016000,0.48039100,1.20375000,1.68414100,1.76430100,8,0,12,1.0,11.0,1,20,33.895221
14,0.9333333333333333,0.2631578947368421,0.0,0.08866600,0.33627700,3.18808000,3.52435700,3.61302300,5,0,15,1.0,14.0,1,20,44.711879
15,0.7894736842105263,0.0625,0.0,1.90957400,34.39050000,5.32789000,39.71839000,41.62796400,1,0,19,5.0,14.0,4,20,0.413222
16,0.625,0.2857142857142857,0.0,13.07220600,22.59070000,6.13664000,28.72734000,41.79954600,4,0,16,7.0,9.0,6,20,0.364524
17,0.85,0.0,0.0,0.33826400,8.59880000,2.70458000,11.30338000,11.64164400,0,0,20,4.0,16.0,3,20,1.790297
18,0.9473684210526315,0.05263157894736842,0.0,0.90916200,1.75403000,1.14651000,2.90054000,3.80970200,1,0,19,1.0,18.0,1,20,7.134296
19,0.8947368421052632,0.05555555555555555,0.0,123.68886000,18.68480000,3.78484000,22.46964000,146.15850000,1,0,19,5.0,14.0,2,20,0.105357
20,0.8571428571428571,0.3333333333333333,0.0,1102.30861000,2.97214000,6.73738000,9.70952000,1112.01813000,6,0,14,2.0,12.0,2,20,0.016285
21,0.6,0.8333333333333334,0.0,2.44518700,6.14616000,2.56182000,8.70798000,11.15316700,15,0,5,2.0,3.0,2,20,2.095131
22,0.7692307692307693,0.4117647058823529,0.0,305.70331200,8.14602000,3.74752000,11.89354000,317.59685200,7,0,13,3.0,10.0,3,20,0.054166
23,0.6,0.8333333333333334,0.0,69.79086800,4.26802000,2.84501000,7.11303000,76.90389800,15,0,5,2.0,3.0,2,20,0.243050
24,0.9,0.0,0.0,3.26847800,2.19182000,31.76620000,33.95802000,37.22649800,0,0,20,2.0,18.0,2,20,3.296523
25,0.9473684210526315,0.05263157894736842,0.0,0.05815900,1.60978000,0.83910100,2.44888100,2.50704000,1,0,19,1.0,18.0,1,20,11.391304
26,0.9444444444444444,0.10526315789473684,0.0,0.05433200,2.87497000,0.89513600,3.77010600,3.82443800,2,0,18,2.0,16.0,1,20,6.144809
27,0.7647058823529411,0.1875,0.0,1.56719300,4.48507000,2.99228000,7.47735000,9.04454300,3,0,17,4.0,13.0,4,20,2.643639
28,0.9333333333333333,0.2631578947368421,0.0,0.06679500,0.37425100,2.60574000,2.97999100,3.04678600,5,0,15,1.0,14.0,1,20,43.079407
29,0.7777777777777778,0.125,0.0,0.11804100,19.60060000,2.28813000,21.88873000,22.00677100,2,0,18,4.0,14.0,4,20,0.811415
30,0.7058823529411765,0.2,0.0,3002.34687200,8.64367000,9.29642000,17.94009000,3020.28696200,3,0,17,5.0,12.0,5,20,0.004982
31,0.75,0.47058823529411764,0.0,3.42504100,32.77360000,3.97359000,36.74719000,40.17223100,8,0,12,3.0,9.0,3,20,0.469631
32,0.6842105263157895,0.07142857142857142,0.0,1.16626300,28.33830000,11.21510000,39.55340000,40.71966300,1,0,19,7.0,12.0,6,20,0.440610
33,0.3333333333333333,0.875,0.0,1047.94659400,3.39962000,2.93592000,6.33554000,1054.28213400,14,0,6,4.0,2.0,4,20,0.015219
