query_id,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),filtering_time(ms)(VEQ),verification_time(ms)(VEQ),VEQs_time(ms),query_time(ms),filtering_num,inclusion_num,Candidate_num,VEQs_Candidate_num,VEQs_filtering_num,answer_num,|G|,filter_time/filter_num
0,0.1,0.0,0.0,0.02988600,18.19420000,2.17736000,20.37156000,20.40144600,0,0,20,19.0,1.0,18,20,0.054872
1,0.05,0.0,0.0,0.03457500,25.38400000,2.45767000,27.84167000,27.87624500,0,0,20,19.0,1.0,19,20,0.039341
2,0.3,0.0,0.0,0.02906400,12.41410000,0.80765300,13.22175300,13.25081700,0,0,20,14.0,6.0,14,20,0.482192
3,0.0,1.0,0.0,0.03211000,27.57500000,2.86583000,30.44083000,30.47294000,0,0,20,20.0,0.0,20,20,0.482192
4,0.5,0.0,0.0,0.02914400,7.42945000,0.57702000,8.00647000,8.03561400,0,0,20,10.0,10.0,10,20,1.340735
5,0.5833333333333334,0.5333333333333333,0.0,0.02951600,7.29277000,0.43607600,7.72884600,7.75836200,8,0,12,5.0,7.0,5,20,2.048541
6,0.45,0.0,0.0,0.05321000,3.46854000,0.57858300,4.04712300,4.10033300,0,0,20,11.0,9.0,11,20,2.555548
7,0.2,0.0,0.0,0.02812300,16.00420000,0.79192100,16.79612100,16.82424400,0,0,20,16.0,4.0,16,20,0.249496
8,0.2,0.0,0.0,0.03001600,17.88160000,1.00505000,18.88665000,18.91666600,0,0,20,16.0,4.0,16,20,0.223319
9,0.05,0.0,0.0,0.02935500,37.69360000,5.74672000,43.44032000,43.46967500,0,0,20,19.0,1.0,19,20,0.026509
10,0.05,0.0,0.0,0.02895400,26.91490000,1.71145000,28.62635000,28.65530400,0,0,20,19.0,1.0,19,20,0.037114
11,0.21052631578947367,0.2,0.0,0.02893400,19.18610000,1.25908000,20.44518000,20.47411400,1,0,19,16.0,3.0,15,20,0.208170
12,0.35,0.0,0.0,0.02824300,19.40990000,0.62834800,20.03824800,20.06649100,0,0,20,13.0,7.0,13,20,0.360117
13,0.2,0.0,0.0,0.02937500,21.48300000,1.63082000,23.11382000,23.14319500,0,0,20,16.0,4.0,16,20,0.185939
14,0.0,1.0,0.0,0.03071800,28.01200000,4.45028000,32.46228000,32.49299800,0,0,20,20.0,0.0,20,20,0.185939
15,0.5,0.0,0.0,0.02702100,10.35960000,1.42874000,11.78834000,11.81536100,0,0,20,10.0,10.0,10,20,0.962777
