dataset,query_set,FP_ratio,(G-C)/(G-A),SP,filtering_time(ms),verification_time(ms),query_time(ms),codetree_filtime/fil_num,codetree_fil_num,allfil_num/allfil_time,allfil_num,nonfail
ppigo,Q4R,0.17723,0.41315,0.00000,0.023216,12.006658,12.029874,0.050470,46,0.351897,380.0,100
ppigo,Q8R,0.31707,0.18341,0.00000,0.029401,16.798435,16.827836,0.035855,82,0.425774,660.0,100
ppigo,Q16R,0.48731,0.18340,0.00000,0.036859,92.856369,12091.035363,0.017450,207,0.474340,1007.0,98
ppigo,Q32R,0.64007,0.14009,0.00000,0.052649,5141.268158,28935.667975,0.036893,137,0.386873,1249.0,96
ppigo,Q64R,0.74824,0.24134,0.00000,0.122579,18360.879020,163770.751200,-0.081358,-113,0.319890,1167.0,75
ppigo,Q4B,0.17687,0.34400,0.00000,0.022403,10.153805,10.176208,0.203665,11,0.391303,360.0,100
ppigo,Q8B,0.34663,0.12269,0.00000,0.033371,9.193674,9.227045,0.031188,107,0.905588,754.0,100
ppigo,Q16B,0.51575,0.12985,0.00000,0.099639,9.845213,9.944852,0.055664,179,1.293978,1106.0,100
ppigo,Q32B,0.67686,0.13473,0.00000,8.246920,10.919859,19.166779,4.102945,201,0.843795,1416.0,100
ppigo,Q64B,0.80565,0.29124,0.00000,119.587774,189.376598,6305.874728,24.260635,488,0.134692,1692.0,99
