querySet,FP,FP2,filtime,vertime,total,fil cou,firpro
4R,0.000037,0.999878,142.007587,20.262327,162.269895,1915891,134.914693
8R,0.038629,0.977103,124.293426,16.197748,140.491196,3156185,253.9301636
16R,0.10869,0.995116,57.948624,3.065775,61.014379,3959271,683.2381387
32R,0.01462,0.99998,27.361887,1.908901,29.270781,3999308,1461.634572
64R,0.004667,0.999996,11.752232,4.121058,15.87329,3999708,3403.360315
4B,0.00993,0.992157,129.073352,17.704011,146.777381,2109399,163.4263748
8B,0.000625,1,8.647813,0.369392,9.017204,3996749,4621.687587
16B,0.0205,0.999979,6.531731,0.867976,7.399707,3997453,6120.051484
32B,0,1,6.3662,1.019648,7.385847,3999819,6282.898747
64B,0.004667,0.999996,12.064961,4.065704,16.130659,3999498,3314.969688
,,,,,,,
3156185,,,,,,,
3959271,,,,,,,
3999308,,,,,,,
3999708,,,,,,,
3996749,,,,,,,
3997453,,,,,,,
3999819,,,,,,,
3999498,,,,,,,
