query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,6.51110000,1.69509000,8.20619000,40000,1.0,1.0
1,0.0,1.0,6.30054000,0.71139300,7.01193000,40000,1.0,1.0
2,0.0,1.0,6.33483000,0.52413200,6.85896000,40000,1.0,1.0
3,0.0,1.0,6.22249000,0.70902900,6.93152000,40000,1.0,1.0
4,0.0,1.0,6.29955000,1.44853000,7.74807000,40000,1.0,1.0
5,0.0,1.0,6.33939000,1.08156000,7.42094000,40000,1.0,1.0
6,0.0,1.0,6.49903000,0.99076700,7.48980000,40000,1.0,1.0
7,0.0,1.0,6.51080000,0.97452700,7.48533000,40000,3.0,3.0
8,0.0,1.0,6.48473000,2.25144000,8.73617000,40000,3.0,3.0
9,0.0,1.0,6.37737000,1.41841000,7.79578000,40000,1.0,1.0
10,0.0,1.0,6.40057000,0.55344800,6.95401000,40000,2.0,2.0
11,0.0,1.0,6.28178000,0.70019300,6.98197000,40000,1.0,1.0
12,0.0,1.0,6.41693000,1.06666000,7.48359000,40000,5.0,5.0
13,0.0,1.0,6.29886000,1.01975000,7.31861000,40000,1.0,1.0
14,0.0,1.0,6.35502000,1.26300000,7.61802000,40000,1.0,1.0
15,0.0,1.0,6.53838000,0.71098400,7.24937000,40000,3.0,3.0
16,0.0,1.0,6.43769000,0.52144800,6.95913000,40000,5.0,5.0
17,0.0,1.0,6.40174000,0.74940600,7.15114000,40000,3.0,3.0
18,0.0,1.0,6.33746000,0.52132800,6.85879000,40000,3.0,3.0
19,0.0,1.0,6.47640000,1.64462000,8.12103000,40000,3.0,3.0
20,0.0,1.0,6.30278000,0.74344300,7.04622000,40000,1.0,1.0
21,0.0,1.0,6.42098000,0.52728800,6.94827000,40000,5.0,5.0
22,0.0,1.0,6.24051000,1.18333000,7.42383000,40000,1.0,1.0
23,0.0,1.0,6.42364000,2.04202000,8.46565000,40000,1.0,1.0
24,0.0,1.0,6.21397000,1.11084000,7.32481000,40000,1.0,1.0
25,0.0,1.0,6.45014000,0.51410400,6.96424000,40000,2.0,2.0
26,0.0,1.0,6.29652000,2.30486000,8.60138000,40000,1.0,1.0
27,0.0,1.0,6.30527000,0.68584600,6.99112000,40000,1.0,1.0
28,0.0,1.0,6.25310000,0.69820900,6.95131000,40000,1.0,1.0
29,0.0,1.0,6.40244000,0.51280200,6.91525000,40000,1.0,1.0
30,0.0,1.0,6.29524000,2.36301000,8.65825000,40000,1.0,1.0
31,0.0,1.0,6.21306000,0.50726100,6.72032000,40000,1.0,1.0
32,0.0,1.0,6.30692000,1.11611000,7.42303000,40000,1.0,1.0
33,0.0,1.0,6.38188000,0.54543200,6.92731000,40000,1.0,1.0
34,0.0,1.0,6.39447000,1.72445000,8.11892000,40000,1.0,1.0
35,0.0,1.0,6.29052000,0.53772800,6.82825000,40000,2.0,2.0
36,0.0,1.0,6.35483000,1.13378000,7.48861000,40000,1.0,1.0
37,0.0,1.0,6.29345000,0.68214900,6.97560000,40000,1.0,1.0
38,0.0,1.0,6.40401000,1.83812000,8.24213000,40000,1.0,1.0
39,0.0,1.0,6.52950000,0.69971200,7.22921000,40000,1.0,1.0
40,0.0,1.0,6.44822000,0.53198700,6.98021000,40000,2.0,2.0
41,0.0,1.0,6.27356000,0.56876700,6.84233000,40000,1.0,1.0
42,0.0,1.0,6.21935000,1.87883000,8.09819000,40000,1.0,1.0
43,0.0,1.0,6.25509000,0.51765100,6.77274000,40000,1.0,1.0
44,0.0,1.0,6.26676000,0.51304200,6.77980000,40000,1.0,1.0
45,0.0,1.0,6.47192000,1.01679000,7.48871000,40000,3.0,3.0
46,0.0,1.0,6.21775000,0.50703100,6.72478000,40000,1.0,1.0
47,0.0,1.0,6.44197000,0.69629500,7.13827000,40000,3.0,3.0
48,0.0,1.0,6.34034000,0.68655800,7.02690000,40000,1.0,1.0
49,0.0,1.0,6.31341000,1.69631000,8.00972000,40000,1.0,1.0
50,0.0,1.0,6.31556000,0.67713900,6.99270000,40000,1.0,1.0
51,0.0,1.0,6.46124000,0.72084200,7.18208000,40000,1.0,1.0
52,0.0,1.0,6.37434000,0.68373200,7.05807000,40000,1.0,1.0
53,0.0,1.0,6.41871000,2.54656000,8.96526000,40000,3.0,3.0
54,0.0,1.0,6.22926000,0.50631000,6.73557000,40000,1.0,1.0
55,0.0,1.0,6.27386000,0.68425300,6.95811000,40000,1.0,1.0
56,0.0,1.0,6.41186000,0.54423000,6.95609000,40000,2.0,2.0
57,0.0,1.0,6.36081000,1.80856000,8.16937000,40000,1.0,1.0
58,0.0,1.0,6.30308000,0.77081500,7.07389000,40000,1.0,1.0
59,0.0,1.0,6.39910000,0.70821700,7.10732000,40000,3.0,3.0
60,0.0,1.0,6.35478000,0.52643700,6.88122000,40000,2.0,2.0
61,0.0,1.0,6.38060000,1.51292000,7.89352000,40000,1.0,1.0
62,0.0,1.0,6.30492000,1.25993000,7.56485000,40000,1.0,1.0
63,0.0,1.0,6.36536000,0.51932300,6.88468000,40000,2.0,2.0
64,0.0,1.0,6.24405000,0.88609200,7.13014000,40000,1.0,1.0
65,0.0,1.0,6.60693000,1.40916000,8.01609000,40000,5.0,5.0
66,0.0,1.0,6.43914000,1.09500000,7.53414000,40000,3.0,3.0
67,0.0,1.0,6.43502000,0.72790400,7.16292000,40000,3.0,3.0
68,0.0,1.0,6.40371000,0.98393400,7.38765000,40000,1.0,1.0
69,0.0,1.0,6.35446000,1.51960000,7.87406000,40000,2.0,2.0
70,0.0,1.0,6.60141000,1.38789000,7.98930000,40000,3.0,3.0
71,0.0,1.0,6.50714000,0.53991300,7.04705000,40000,5.0,5.0
72,0.0,1.0,6.38798000,1.16511000,7.55309000,40000,3.0,3.0
73,0.0,1.0,6.41918000,1.45941000,7.87858000,40000,5.0,5.0
74,0.0,1.0,6.34762000,1.48008000,7.82769000,40000,1.0,1.0
75,0.0,1.0,6.26119000,0.85302900,7.11422000,40000,1.0,1.0
76,0.0,1.0,6.37793000,0.68706800,7.06500000,40000,1.0,1.0
77,0.0,1.0,6.38409000,1.95482000,8.33891000,40000,1.0,1.0
78,0.0,1.0,6.40640000,0.52202900,6.92843000,40000,2.0,2.0
79,0.0,1.0,6.30188000,0.51289100,6.81477000,40000,1.0,1.0
80,0.0,1.0,6.46792000,0.72700400,7.19492000,40000,3.0,3.0
81,0.0,1.0,6.38199000,1.16509000,7.54709000,40000,2.0,2.0
82,0.0,1.0,6.28371000,1.01372000,7.29743000,40000,1.0,1.0
83,0.0,1.0,6.32658000,0.52706800,6.85365000,40000,1.0,1.0
84,0.0,1.0,6.30288000,0.73058000,7.03346000,40000,1.0,1.0
85,0.0,1.0,6.40593000,2.13324000,8.53917000,40000,3.0,3.0
86,0.0,1.0,6.46415000,0.69743700,7.16159000,40000,3.0,3.0
87,0.0,1.0,6.23312000,1.26869000,7.50181000,40000,1.0,1.0
88,0.0,1.0,6.52388000,1.04962000,7.57350000,40000,3.0,3.0
89,0.0,1.0,6.26124000,1.21190000,7.47315000,40000,1.0,1.0
90,0.0,1.0,6.44554000,1.22832000,7.67386000,40000,3.0,3.0
91,0.0,1.0,6.31800000,1.14306000,7.46107000,40000,1.0,1.0
92,0.0,1.0,6.26762000,0.51113900,6.77876000,40000,2.0,2.0
93,0.0,1.0,6.34647000,1.35869000,7.70516000,40000,1.0,1.0
94,0.0,1.0,6.44513000,1.07348000,7.51861000,40000,3.0,3.0
95,0.0,1.0,6.37383000,0.69399100,7.06782000,40000,1.0,1.0
96,0.0,1.0,6.41225000,0.73183200,7.14409000,40000,3.0,3.0
97,0.0,1.0,6.28320000,1.63202000,7.91522000,40000,1.0,1.0
98,0.0,1.0,6.34580000,1.25026000,7.59607000,40000,1.0,1.0
99,0.0,1.0,6.45286000,0.52496500,6.97782000,40000,5.0,5.0
