query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A,nonfail,newFP,,
0,0.00933,0.992421508,196.124,37.3005,233.425,5000,2250,2229,99,0.992421508,97.59386467,newFP
1,0.0037,0.995663487,201.822,31.034,232.856,5000,2704,2694,,0.995663487,,0.985796613
2,0.04142,0.975586854,167.807,33.5103,201.317,5000,1883,1805,,0.975586854,,
3,0.03138,0.977725278,197.881,82.9771,280.858,5000,2103,2037,,0.977725278,,
4,0.01449,0.98735119,201.404,36.5646,237.969,5000,2346,2312,,0.98735119,,
5,0.0492,0.97423607,179.406,6601.66,6781.07,5000,1748,1662,,0.97423607,,
6,0.06066,0.972269868,164.267,71.2617,235.528,5000,1599,1502,,0.972269868,,
7,0.02892,0.985832349,174.196,12925.2,13099.4,5000,1660,1612,,0.985832349,,
8,0.03879,0.98525396,168.242,1666.68,1834.93,5000,1392,1338,,0.98525396,,
9,0.03839,0.981589714,176.451,39.2748,215.726,5000,1641,1578,,0.981589714,,
10,0.01694,0.990315526,171.153,37.5185,208.672,5000,1830,1799,,0.990315526,,
11,0.0138,0.989495798,198.138,34.7693,232.907,5000,2174,2144,,0.989495798,,
12,0.00813,0.993582888,191.457,33.4546,224.911,5000,2213,2195,,0.993582888,,
13,0.00655,0.994495413,188.143,32.1976,220.341,5000,2290,2275,,0.994495413,,
14,0.04071,0.975332068,185.101,63953.1,64138.2,5000,1916,1838,,0.975332068,,
15,0.03399,0.979880541,178.824,35.9265,214.751,5000,1883,1819,,0.979880541,,
16,0.00578,0.996952149,148.357,28.2157,176.573,5000,1729,1719,,0.996952149,,
17,0.00804,0.992849078,195.031,35.7228,230.754,5000,2362,2343,,0.992849078,,
18,0.01351,0.98867373,202.138,37.3815,239.52,5000,2294,2263,,0.98867373,,
19,0.04608,0.975624436,182.723,59.2472,241.97,5000,1758,1677,,0.975624436,,
20,0.00498,0.996074233,183.879,33.6232,217.502,5000,2209,2198,,0.996074233,,
21,0.07366,0.965625895,167.796,35.7312,203.528,5000,1629,1509,,0.965625895,,
22,0.00936,0.993643359,187.988,36.4836,224.472,5000,2030,2011,,0.993643359,,
23,0.03981,0.968186638,201.791,40.0031,241.794,5000,2261,2171,,0.968186638,,
24,0,1,187.835,34.7316,222.567,5000,2492,2492,,1,,
25,0.04824,0.970616114,182.869,44.8201,227.689,5000,1928,1835,,0.970616114,,
26,0.00279,0.997196636,195.878,35.7981,231.676,5000,2510,2503,,0.997196636,,
27,0.01092,0.992683738,183.484,275.354,458.838,5000,2015,1993,,0.992683738,,
28,0.00177,0.99853908,194.103,28.0853,222.188,5000,2266,2262,,0.99853908,,
29,0.02373,0.987163814,169.819,103.868,273.687,5000,1770,1728,,0.987163814,,
30,0.02024,0.985268928,189.985,53.5145,243.499,5000,2124,2081,,0.985268928,,
31,0.00357,0.997109827,191.742,33.0439,224.786,5000,2240,2232,,0.997109827,,
32,0.01559,0.989261745,192.681,79.2875,271.968,5000,2052,2020,,0.989261745,,
33,0.06468,0.970251716,162.289,75.8544,238.143,5000,1608,1504,,0.970251716,,
34,0.01147,0.991215741,198.605,45.3357,243.94,5000,2179,2154,,0.991215741,,
35,0.01675,0.988119484,184.071,28.2772,212.348,5000,2089,2054,,0.988119484,,
36,0.02209,0.982059562,200.802,36.8703,237.672,5000,2263,2213,,0.982059562,,
37,0.03269,0.977242303,183.869,48.1557,232.024,5000,2080,2012,,0.977242303,,
38,0.02199,0.98607513,189.501,33.6732,223.175,5000,1955,1912,,0.98607513,,
39,0.00477,0.995933457,196.444,28.6988,225.143,5000,2306,2295,,0.995933457,,
40,0.01915,0.985257985,205.195,236.872,442.067,5000,2193,2151,,0.985257985,,
41,0.00977,0.992060628,201.203,33.2278,234.431,5000,2251,2229,,0.992060628,,
42,0.00791,0.994070457,173.333,23.5059,196.838,5000,2150,2133,,0.994070457,,
43,0.05815,0.967712458,180.793,58.5245,239.317,5000,1823,1717,,0.967712458,,
44,0.00618,0.995534181,210.149,44.7789,254.928,5000,2102,2089,,0.995534181,,
45,0.01944,0.98212248,209.12,37.0002,246.12,5000,2418,2371,,0.98212248,,
46,0.02096,0.98447205,197.197,34.5085,231.706,5000,2147,2102,,0.98447205,,
47,0.0058,0.9964687,164.638,28.2692,192.907,5000,1896,1885,,0.9964687,,
48,0.03852,0.976530289,188.559,1274.15,1462.71,5000,1921,1847,,0.976530289,,
49,0.00894,0.993432423,187.999,31.2498,219.248,5000,2126,2107,,0.993432423,,
50,0.03152,0.978354978,186.874,44.4446,231.319,5000,2062,1997,,0.978354978,,
51,0.02456,0.986938032,171.633,99.5914,271.224,5000,1751,1708,,0.986938032,,
52,0.01798,0.983785822,199.509,34.2423,233.752,5000,2391,2348,,0.983785822,,
53,0.03959,0.977392382,183.602,54.8408,238.443,5000,1844,1771,,0.977392382,,
54,0.02213,0.982085274,197.43,49.7597,247.19,5000,2259,2209,,0.982085274,,
55,0.03341,0.98114374,176.743,37.1868,213.93,5000,1826,1765,,0.98114374,,
56,0.007,0.993433758,208.087,38.1999,246.287,5000,2428,2411,,0.993433758,,
57,0.00561,0.995176252,202.585,34.9478,237.533,5000,2318,2305,,0.995176252,,
58,0.01142,0.991181658,195.339,33.6145,228.954,5000,2190,2165,,0.991181658,,
59,0.01803,0.984518983,203.778,35.181,238.959,5000,2329,2287,,0.984518983,,
60,0.01049,0.992478632,189.708,39.79,229.498,5000,2097,2075,,0.992478632,,
61,0.00837,0.994847021,165.785,85.0044,250.789,5000,1911,1895,,0.994847021,,
62,0.01189,0.990841846,197.433,34.0063,231.44,5000,2187,2161,,0.990841846,,
63,0.0075,0.995023225,190.323,34.7298,225.053,5000,2001,1986,,0.995023225,,
64,0.01384,0.990682196,186.497,36.7606,223.257,5000,2023,1995,,0.990682196,,
65,0.01712,0.988845144,183.143,31.3153,214.458,5000,1986,1952,,0.988845144,,
66,0.00125,0.998847484,187.576,30.8781,218.454,5000,2400,2397,,0.998847484,,
67,0.05444,0.962251656,197.272,42.5377,239.81,5000,2094,1980,,0.962251656,,
68,0.03289,0.975618132,198.126,3613.64,3811.77,5000,2159,2088,,0.975618132,,
69,0.04406,0.965287518,237.411,53.328,290.739,5000,2247,2148,,0.965287518,,
70,0.05157,0.97568741,166.925,57.7469,224.672,5000,1629,1545,,0.97568741,,
71,0.02386,0.985246953,187.508,1891.69,2079.19,5000,1928,1882,,0.985246953,,
72,0.00169,0.99848082,185.878,29.332,215.21,5000,2371,2367,,0.99848082,,
73,0.02698,0.980055021,181.288,29.0837,210.371,5000,2150,2092,,0.980055021,,
74,1,0,0,0,600000,5000,0,0,,0,,
75,0.01029,0.990366089,203.179,40.7125,243.891,5000,2430,2405,,0.990366089,,
76,0.0207,0.987638669,167.63,87.7066,255.337,5000,1884,1845,,0.987638669,,
77,0.00892,0.99342333,192.257,36.5207,228.777,5000,2130,2111,,0.99342333,,
78,0.00764,0.993913355,174.915,31.6137,206.528,5000,2224,2207,,0.993913355,,
79,0.02385,0.979992725,206.831,1554.7,1761.53,5000,2306,2251,,0.979992725,,
80,0.00515,0.994781212,195.378,31.1696,226.548,5000,2522,2509,,0.994781212,,
