query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,98.97260000,11.71860000,110.69100000,5000,4044.0,4044.0
1,0.00474,0.9902319902319903,84.50250000,12.16180000,96.66420000,5000,3378.0,3362.0
2,0.0,1.0,93.29100000,10.17490000,103.46600000,5000,3714.0,3714.0
3,0.0,1.0,100.08200000,11.66690000,111.74900000,5000,4058.0,4058.0
4,0.0,1.0,94.93600000,10.45140000,105.38700000,5000,3761.0,3761.0
5,0.0,1.0,100.48900000,11.75690000,112.24600000,5000,4065.0,4065.0
6,0.0,1.0,100.48400000,11.39410000,111.87800000,5000,4046.0,4046.0
7,0.0,1.0,98.26290000,11.67660000,109.94000000,5000,4071.0,4071.0
8,0.0,1.0,87.37550000,11.68300000,99.05850000,5000,3772.0,3772.0
9,0.0,1.0,85.78300000,8.86339000,94.64640000,5000,3696.0,3696.0
10,0.0,1.0,98.69680000,11.47790000,110.17500000,5000,3994.0,3994.0
11,0.0,1.0,84.18180000,9.97030000,94.15210000,5000,3708.0,3708.0
12,0.0,1.0,93.99830000,10.30400000,104.30200000,5000,3764.0,3764.0
13,0.0,1.0,98.85360000,12.26340000,111.11700000,5000,4074.0,4074.0
14,0.0,1.0,100.90500000,11.66680000,112.57200000,5000,4054.0,4054.0
15,0.0,1.0,98.85260000,11.77770000,110.63000000,5000,4053.0,4053.0
16,0.0,1.0,94.56140000,10.20300000,104.76400000,5000,3740.0,3740.0
17,0.0,1.0,97.73280000,11.54230000,109.27500000,5000,4033.0,4033.0
18,0.0,1.0,98.75060000,12.06960000,110.82000000,5000,4052.0,4052.0
19,0.0,1.0,87.33080000,12.17720000,99.50800000,5000,3806.0,3806.0
20,0.0,1.0,86.02070000,9.55490000,95.57560000,5000,3715.0,3715.0
21,0.0,1.0,89.45130000,13.16140000,102.61300000,5000,3694.0,3694.0
22,0.0,1.0,91.59140000,10.36840000,101.96000000,5000,3738.0,3738.0
23,0.0,1.0,71.11790000,7.41233000,78.53020000,5000,3286.0,3286.0
24,0.0,1.0,99.66240000,11.88120000,111.54400000,5000,4104.0,4104.0
25,0.0,1.0,101.22300000,11.65960000,112.88300000,5000,4072.0,4072.0
26,0.0,1.0,72.62010000,7.84700000,80.46710000,5000,3515.0,3515.0
27,0.0,1.0,100.46100000,12.01160000,112.47300000,5000,4095.0,4095.0
28,0.0,1.0,98.80540000,12.02990000,110.83500000,5000,4079.0,4079.0
29,0.0,1.0,99.66530000,11.40090000,111.06600000,5000,4047.0,4047.0
30,0.0,1.0,87.91910000,11.59480000,99.51390000,5000,3757.0,3757.0
31,0.0,1.0,88.10280000,11.95460000,100.05700000,5000,3811.0,3811.0
32,0.0,1.0,89.70140000,11.57980000,101.28100000,5000,3774.0,3774.0
33,0.0,1.0,84.98590000,7.52169000,92.50760000,5000,3712.0,3712.0
34,0.0,1.0,87.92380000,11.85350000,99.77730000,5000,3821.0,3821.0
35,0.0,1.0,88.59680000,12.04080000,100.63800000,5000,3816.0,3816.0
36,0.0,1.0,82.81100000,10.22540000,93.03630000,5000,3657.0,3657.0
37,0.0,1.0,98.82450000,11.94680000,110.77100000,5000,4051.0,4051.0
38,0.0,1.0,93.73820000,10.27160000,104.01000000,5000,3785.0,3785.0
39,0.0,1.0,100.33100000,11.49210000,111.82300000,5000,4081.0,4081.0
40,0.0,1.0,100.72700000,11.59880000,112.32600000,5000,4112.0,4112.0
41,0.0,1.0,99.48490000,11.76870000,111.25400000,5000,4071.0,4071.0
42,0.0,1.0,82.73850000,10.27750000,93.01610000,5000,3746.0,3746.0
43,0.0,1.0,99.22470000,11.81700000,111.04200000,5000,4067.0,4067.0
44,0.0,1.0,70.18360000,7.59534000,77.77900000,5000,3212.0,3212.0
45,0.0,1.0,98.09600000,11.69670000,109.79300000,5000,4037.0,4037.0
46,0.0,1.0,98.28010000,11.60330000,109.88300000,5000,4045.0,4045.0
47,0.0,1.0,92.91640000,10.05660000,102.97300000,5000,3766.0,3766.0
48,0.0,1.0,98.35320000,11.45740000,109.81100000,5000,4065.0,4065.0
49,0.0,1.0,93.86100000,10.35120000,104.21200000,5000,3743.0,3743.0
50,0.0,1.0,99.57440000,11.79420000,111.36900000,5000,4061.0,4061.0
51,0.0,1.0,99.72310000,12.99600000,112.71900000,5000,3985.0,3985.0
52,0.0,1.0,92.64730000,10.14650000,102.79400000,5000,3738.0,3738.0
53,0.0,1.0,84.31520000,9.96060000,94.27580000,5000,3651.0,3651.0
54,0.0,1.0,83.89580000,7.68540000,91.58120000,5000,3689.0,3689.0
55,0.0,1.0,67.77560000,10.09060000,77.86610000,5000,3223.0,3223.0
56,0.0,1.0,99.51940000,11.61700000,111.13600000,5000,4041.0,4041.0
57,0.0,1.0,99.79460000,11.54190000,111.33600000,5000,4089.0,4089.0
58,0.0,1.0,99.68770000,11.67130000,111.35900000,5000,4044.0,4044.0
59,0.0,1.0,89.30570000,11.87910000,101.18500000,5000,3791.0,3791.0
60,0.0,1.0,68.56220000,9.57417000,78.13640000,5000,3222.0,3222.0
61,0.0,1.0,98.80940000,11.53980000,110.34900000,5000,4050.0,4050.0
62,0.0,1.0,97.55090000,11.47880000,109.03000000,5000,4035.0,4035.0
63,0.0,1.0,83.79780000,10.11310000,93.91100000,5000,3724.0,3724.0
64,0.0,1.0,84.39650000,10.21370000,94.61020000,5000,3679.0,3679.0
65,0.0,1.0,91.28370000,11.69870000,102.98200000,5000,3813.0,3813.0
66,0.0,1.0,67.75260000,9.71932000,77.47200000,5000,3286.0,3286.0
67,0.0,1.0,89.12060000,11.84270000,100.96300000,5000,3834.0,3834.0
68,3.1E-4,0.9994236311239193,67.98990000,7.71949000,75.70940000,5000,3266.0,3265.0
69,0.0,1.0,82.94440000,8.66015000,91.60450000,5000,3689.0,3689.0
70,0.0,1.0,99.61000000,11.79980000,111.41000000,5000,4047.0,4047.0
71,0.0,1.0,89.19080000,12.07620000,101.26700000,5000,3823.0,3823.0
72,0.0,1.0,99.44600000,11.99600000,111.44200000,5000,4081.0,4081.0
73,0.0,1.0,99.12060000,11.79880000,110.91900000,5000,4069.0,4069.0
74,0.0,1.0,99.01020000,11.69300000,110.70300000,5000,4061.0,4061.0
75,0.0,1.0,92.16390000,10.30030000,102.46400000,5000,3764.0,3764.0
76,0.0,1.0,90.96010000,12.04020000,103.00000000,5000,3841.0,3841.0
77,0.0,1.0,98.51420000,11.69830000,110.21300000,5000,4045.0,4045.0
78,0.0,1.0,88.68020000,12.43500000,101.11500000,5000,3807.0,3807.0
79,2.5E-4,0.9989539748953975,97.42540000,11.59350000,109.01900000,5000,4045.0,4044.0
80,0.0,1.0,98.97990000,12.02830000,111.00800000,5000,4035.0,4035.0
81,0.0,1.0,85.59650000,7.73022000,93.32670000,5000,3703.0,3703.0
82,0.0,1.0,88.69240000,11.95840000,100.65100000,5000,3806.0,3806.0
83,0.0,1.0,101.14600000,11.79780000,112.94400000,5000,4091.0,4091.0
84,0.0,1.0,89.54860000,11.79310000,101.34200000,5000,3801.0,3801.0
85,0.0,1.0,100.08900000,11.57350000,111.66200000,5000,4104.0,4104.0
86,0.0,1.0,97.76910000,11.80430000,109.57300000,5000,4050.0,4050.0
