query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.00222,0.9943019943019943,90.40850000,13.90010000,104.30900000,5000,3604.0,3596.0
1,0.0,1.0,101.26000000,12.62300000,113.88300000,5000,3908.0,3908.0
2,0.01327,0.9708676377454085,92.23380000,11.56020000,103.79400000,5000,3467.0,3421.0
3,0.00576,0.9816819317235637,100.52300000,13.48600000,114.00900000,5000,3821.0,3799.0
4,0.0,1.0,95.51600000,11.23560000,106.75200000,5000,3674.0,3674.0
5,0.0,1.0,100.56800000,12.75430000,113.32200000,5000,3973.0,3973.0
6,0.01805,0.9531582682753726,91.53160000,13.69830000,105.23000000,5000,3657.0,3591.0
7,0.0,1.0,90.46720000,13.02330000,103.49000000,5000,3693.0,3693.0
8,0.0,1.0,80.64090000,9.77737000,90.41830000,5000,3157.0,3157.0
9,0.0,1.0,101.80800000,13.10920000,114.91700000,5000,3953.0,3953.0
10,0.01404,0.9685494223363287,93.44780000,12.63500000,106.08300000,5000,3491.0,3442.0
11,0.0,1.0,94.14940000,11.56380000,105.71300000,5000,3625.0,3625.0
12,0.0,1.0,95.65040000,10.93160000,106.58200000,5000,3676.0,3676.0
13,0.0,1.0,100.54500000,12.77380000,113.31900000,5000,3973.0,3973.0
14,0.0,1.0,100.87300000,12.76080000,113.63400000,5000,3979.0,3979.0
15,0.00372,0.9914417379855168,79.19860000,13.06340000,92.26200000,5000,3494.0,3481.0
16,0.0,1.0,88.74560000,14.82300000,103.56900000,5000,3708.0,3708.0
17,0.0,1.0,101.32000000,12.55910000,113.87900000,5000,3957.0,3957.0
18,0.0,1.0,102.05300000,12.78840000,114.84100000,5000,3935.0,3935.0
19,0.01559,0.9592857142857143,93.55920000,13.56850000,107.12800000,5000,3657.0,3600.0
20,0.0,1.0,99.75580000,12.67950000,112.43500000,5000,3947.0,3947.0
21,0.00108,0.9969465648854962,92.11360000,9.51182000,101.62500000,5000,3694.0,3690.0
22,0.0,1.0,89.74660000,9.41015000,99.15680000,5000,3654.0,3654.0
23,0.0,1.0,101.71700000,12.74690000,114.46400000,5000,3948.0,3948.0
24,0.0,1.0,81.69910000,12.74430000,94.44340000,5000,3492.0,3492.0
25,0.0,1.0,102.06900000,12.81130000,114.88100000,5000,3947.0,3947.0
26,0.0,1.0,81.34810000,8.46623000,89.81430000,5000,3714.0,3714.0
27,0.0,1.0,96.65180000,10.29020000,106.94200000,5000,3669.0,3669.0
28,0.0,1.0,97.74760000,11.80090000,109.54800000,5000,4072.0,4072.0
29,0.0,1.0,95.28460000,11.30360000,106.58800000,5000,3666.0,3666.0
30,0.0,1.0,99.24990000,11.62590000,110.87600000,5000,4086.0,4086.0
31,0.0,1.0,100.22300000,12.65800000,112.88100000,5000,3944.0,3944.0
32,0.0,1.0,67.18670000,9.74978000,76.93640000,5000,3234.0,3234.0
33,0.0,1.0,98.45860000,11.65720000,110.11600000,5000,4094.0,4094.0
34,0.0,1.0,94.97450000,10.84960000,105.82400000,5000,3618.0,3618.0
35,0.0,1.0,99.77500000,12.60410000,112.37900000,5000,3973.0,3973.0
36,0.0,1.0,94.59340000,10.49590000,105.08900000,5000,3645.0,3645.0
37,0.00364,0.9879931389365352,99.96380000,13.56420000,113.52800000,5000,3848.0,3834.0
38,0.0,1.0,90.21110000,12.91010000,103.12100000,5000,3730.0,3730.0
39,0.0,1.0,90.27930000,12.65500000,102.93400000,5000,3720.0,3720.0
