query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,0.55550300,1.11900000,1.67451000,1500,16.0,16.0
1,0.0,1.0,0.45305600,0.65409800,1.10715000,1500,12.0,12.0
2,0.0,1.0,0.49395600,0.66796200,1.16192000,1500,13.0,13.0
3,0.0,1.0,0.72412400,0.29964800,1.02377000,1500,31.0,31.0
4,0.0,1.0,0.49225100,0.66228200,1.15453000,1500,10.0,10.0
5,0.0,1.0,0.91821800,0.48606900,1.40429000,1500,37.0,37.0
6,0.0,1.0,0.57682800,0.69661400,1.27344000,1500,19.0,19.0
7,0.0,1.0,1.11918000,0.35270500,1.47189000,1500,50.0,50.0
8,0.0,1.0,0.50726500,0.66107000,1.16834000,1500,17.0,17.0
9,0.0,1.0,0.36395100,0.64016100,1.00411000,1500,7.0,7.0
10,0.0,1.0,0.33924200,0.63562000,0.97486200,1500,8.0,8.0
11,0.0,1.0,0.35672700,0.64712200,1.00385000,1500,8.0,8.0
12,0.0,1.0,0.44876000,0.68841200,1.13717000,1500,13.0,13.0
13,0.0,1.0,0.88468100,0.28263900,1.16732000,1500,27.0,27.0
14,0.0,1.0,0.77068700,0.45384100,1.22453000,1500,28.0,28.0
15,0.02941,0.9993183367416496,0.99599100,0.63294900,1.62894000,1500,34.0,33.0
16,0.0,1.0,0.27471600,0.49163200,0.76634800,1500,4.0,4.0
17,0.0,1.0,0.67839700,0.41937400,1.09777000,1500,23.0,23.0
18,0.0,1.0,0.94133400,0.49780400,1.43914000,1500,38.0,38.0
19,0.0,1.0,0.67301800,0.73828400,1.41130000,1500,14.0,14.0
20,0.0,1.0,0.38299700,0.66186900,1.04487000,1500,13.0,13.0
21,0.0,1.0,0.51128600,2.15239000,2.66368000,1500,13.0,13.0
22,0.0,1.0,0.98186000,0.53408600,1.51595000,1500,35.0,35.0
23,0.0,1.0,0.86467100,0.35393300,1.21860000,1500,33.0,33.0
24,0.0,1.0,0.45532800,0.67335400,1.12868000,1500,12.0,12.0
25,0.0,1.0,0.70783400,0.61260700,1.32044000,1500,22.0,22.0
26,0.0,1.0,0.39774000,0.69969100,1.09743000,1500,11.0,11.0
27,0.0,1.0,0.37248800,0.65354500,1.02603000,1500,10.0,10.0
28,0.0,1.0,0.71231300,0.61965000,1.33196000,1500,23.0,23.0
29,0.0,1.0,0.55422600,0.57597300,1.13020000,1500,18.0,18.0
30,0.0,1.0,0.57989700,0.70471100,1.28461000,1500,14.0,14.0
31,0.0,1.0,0.35014000,0.64708200,0.99722200,1500,9.0,9.0
32,0.0,1.0,0.27738400,0.48751200,0.76489600,1500,6.0,6.0
33,0.0,1.0,0.37746100,0.64882700,1.02629000,1500,9.0,9.0
