query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,0.91096300,0.29883400,1.20980000,1500,67.0,67.0
1,0.05263,0.9986338797814208,0.66255300,0.77348300,1.43604000,1500,38.0,36.0
2,0.0,1.0,1.02762000,0.51008500,1.53770000,1500,66.0,66.0
3,0.0,1.0,0.60897100,0.28630800,0.89527900,1500,40.0,40.0
4,0.0,1.0,0.85898300,0.32347500,1.18246000,1500,69.0,69.0
5,0.0,1.0,0.91205600,0.35689000,1.26895000,1500,71.0,71.0
6,0.0,1.0,0.52887500,0.37349100,0.90236600,1500,30.0,30.0
7,0.02174,0.9993127147766323,0.91442100,0.44075800,1.35518000,1500,46.0,45.0
8,0.0,1.0,0.92838100,0.52557400,1.45395000,1500,65.0,65.0
9,0.0,1.0,0.83068400,0.35843900,1.18912000,1500,60.0,60.0
10,0.0,1.0,0.90811900,0.34269500,1.25081000,1500,68.0,68.0
11,0.05714,0.9986366734832992,0.73760800,0.40674600,1.14435000,1500,35.0,33.0
12,0.0,1.0,1.08759000,0.37279800,1.46038000,1500,98.0,98.0
13,0.0,1.0,0.91668900,0.36336800,1.28006000,1500,83.0,83.0
14,0.0,1.0,0.74661100,0.27179000,1.01840000,1500,53.0,53.0
15,0.0,1.0,0.94463900,0.74029700,1.68494000,1500,65.0,65.0
16,0.0,1.0,0.94872300,0.49077300,1.43950000,1500,63.0,63.0
17,0.01316,0.9992982456140351,0.94469000,0.49652100,1.44121000,1500,76.0,75.0
18,0.01923,0.9993098688750862,0.89793100,0.47143500,1.36937000,1500,52.0,51.0
19,0.0,1.0,1.00307000,0.38574100,1.38881000,1500,109.0,109.0
20,0.0,1.0,0.95690600,0.33041300,1.28732000,1500,109.0,109.0
21,0.0,1.0,0.91696000,0.35613600,1.27310000,1500,69.0,69.0
22,0.0,1.0,0.74201400,0.41567000,1.15768000,1500,28.0,28.0
23,0.0,1.0,1.51133000,0.53945800,2.05079000,1500,83.0,83.0
24,0.0,1.0,0.95681000,0.34733100,1.30414000,1500,77.0,77.0
25,0.0,1.0,0.95385300,0.34414800,1.29800000,1500,80.0,80.0
26,0.0,1.0,1.21152000,0.41530500,1.62682000,1500,109.0,109.0
27,0.01408,0.9993006993006993,1.09559000,0.56276400,1.65835000,1500,71.0,70.0
28,0.0,1.0,0.69443800,0.42369300,1.11813000,1500,35.0,35.0
29,0.0,1.0,0.84484000,0.33477600,1.17962000,1500,61.0,61.0
30,0.0,1.0,0.85764100,0.29865200,1.15629000,1500,76.0,76.0
31,0.0,1.0,0.87228200,0.47521100,1.34749000,1500,59.0,59.0
32,0.03125,0.9993192648059904,0.81423800,0.82082200,1.63506000,1500,32.0,31.0
33,0.0,1.0,0.68816900,0.28776000,0.97592900,1500,43.0,43.0
34,0.0,1.0,1.04858000,0.49967100,1.54825000,1500,75.0,75.0
35,0.0,1.0,0.88432900,0.33151600,1.21584000,1500,81.0,81.0
36,0.0,1.0,0.95317800,0.33904900,1.29223000,1500,75.0,75.0
37,0.0,1.0,0.85066600,0.34211100,1.19278000,1500,67.0,67.0
38,0.0,1.0,0.88975100,0.32882000,1.21857000,1500,66.0,66.0
39,0.0,1.0,0.78934000,0.33864300,1.12798000,1500,57.0,57.0
40,0.0,1.0,0.93028100,0.37198600,1.30227000,1500,83.0,83.0
41,0.0,1.0,0.99327000,0.63468500,1.62795000,1500,44.0,44.0
42,0.0,1.0,0.91845300,0.65307500,1.57153000,1500,48.0,48.0
43,0.0,1.0,0.80111100,0.29757900,1.09869000,1500,54.0,54.0
44,0.0,1.0,1.05328000,0.29507900,1.34836000,1500,62.0,62.0
45,0.0,1.0,1.10783000,0.52807400,1.63590000,1500,69.0,69.0
46,0.0,1.0,0.79220200,0.31033300,1.10254000,1500,62.0,62.0
47,0.03279,0.9986120749479528,0.96165300,0.47982000,1.44147000,1500,61.0,59.0
48,0.0,1.0,0.92447800,0.37342300,1.29790000,1500,71.0,71.0
49,0.0,1.0,1.01471000,0.52704100,1.54176000,1500,58.0,58.0
50,0.05263,0.9986338797814208,0.82833300,0.60187100,1.43020000,1500,38.0,36.0
51,0.0,1.0,0.76153500,0.30680500,1.06834000,1500,49.0,49.0
52,0.0,1.0,0.81807900,0.46511900,1.28320000,1500,45.0,45.0
53,0.0,1.0,0.81190500,0.47813500,1.29004000,1500,55.0,55.0
54,0.0,1.0,0.90746500,0.32006600,1.22753000,1500,66.0,66.0
55,0.06818,0.997943797121316,0.94505600,0.60751700,1.55257000,1500,44.0,41.0
56,0.0,1.0,0.99871100,0.64043200,1.63914000,1500,52.0,52.0
57,0.0,1.0,0.96661300,0.30901200,1.27562000,1500,68.0,68.0
58,0.0,1.0,0.89633300,0.50688300,1.40322000,1500,75.0,75.0
59,0.04255,0.9986254295532646,0.81262500,0.47175700,1.28438000,1500,47.0,45.0
60,0.0,1.0,0.92372000,0.44667200,1.37039000,1500,61.0,61.0
61,0.0,1.0,0.74596500,0.28990300,1.03587000,1500,52.0,52.0
62,0.0,1.0,0.87203400,0.35443600,1.22647000,1500,77.0,77.0
63,0.0,1.0,1.22581000,0.41975300,1.64556000,1500,147.0,147.0
64,0.0,1.0,0.83501100,0.46079300,1.29580000,1500,57.0,57.0
65,0.0339,0.9986139986139986,0.96480000,0.49820600,1.46301000,1500,59.0,57.0
66,0.0,1.0,0.81941400,0.44875600,1.26817000,1500,66.0,66.0
67,0.0,1.0,0.76485500,0.33763000,1.10248000,1500,51.0,51.0
68,0.0,1.0,0.91229400,0.69731500,1.60961000,1500,44.0,44.0
69,0.0,1.0,0.60636300,0.27593400,0.88229700,1500,37.0,37.0
70,0.0,1.0,0.91070600,0.37500900,1.28571000,1500,72.0,72.0
71,0.0,1.0,0.61934800,0.24755500,0.86690300,1500,39.0,39.0
72,0.0,1.0,1.12073000,0.38933400,1.51006000,1500,101.0,101.0
73,0.0,1.0,0.73420200,0.32637700,1.06058000,1500,48.0,48.0
74,0.0,1.0,0.86813900,0.47739900,1.34554000,1500,58.0,58.0
75,0.0,1.0,0.82271600,0.32366700,1.14638000,1500,57.0,57.0
76,0.08929,0.9965493443754313,1.00120000,0.91568700,1.91688000,1500,56.0,51.0
77,0.0,1.0,1.24462000,0.47929100,1.72391000,1500,94.0,94.0
78,0.0,1.0,0.77224500,0.31520800,1.08745000,1500,67.0,67.0
79,0.0,1.0,0.97154500,0.69580400,1.66735000,1500,74.0,74.0
80,0.0,1.0,0.82569600,0.43590400,1.26160000,1500,46.0,46.0
81,0.0,1.0,0.96459000,0.47515300,1.43974000,1500,48.0,48.0
82,0.0,1.0,0.97196800,0.36414000,1.33611000,1500,95.0,95.0
83,0.0,1.0,0.83110100,0.28033300,1.11143000,1500,69.0,69.0
84,0.0,1.0,0.90467800,0.38258700,1.28726000,1500,80.0,80.0
85,0.0,1.0,0.76261200,0.33230700,1.09492000,1500,56.0,56.0
86,0.0,1.0,0.69030200,0.30312800,0.99343000,1500,50.0,50.0
87,0.0,1.0,0.75914200,0.47317800,1.23232000,1500,53.0,53.0
88,0.03846,0.9986206896551724,0.81888200,0.48096900,1.29985000,1500,52.0,50.0
89,0.0,1.0,0.69229400,0.43981000,1.13210000,1500,40.0,40.0
90,0.0,1.0,0.88687000,0.36810300,1.25497000,1500,75.0,75.0
91,0.0,1.0,0.61597400,0.35189100,0.96786500,1500,28.0,28.0
92,0.0,1.0,0.93186200,0.33738900,1.26925000,1500,67.0,67.0
93,0.0,1.0,0.68667500,0.40718900,1.09386000,1500,42.0,42.0
94,0.0,1.0,1.04507000,0.38081600,1.42589000,1500,110.0,110.0
95,0.0,1.0,0.90708500,0.34117200,1.24826000,1500,73.0,73.0
96,0.0,1.0,0.92439500,0.48299400,1.40739000,1500,60.0,60.0
97,0.0,1.0,0.75792000,0.33563400,1.09355000,1500,59.0,59.0
98,0.0,1.0,1.05053000,0.37424100,1.42477000,1500,89.0,89.0
99,0.0,1.0,0.80183400,0.44852100,1.25036000,1500,56.0,56.0
