querySet,FP,FP2,filtime,vertime,total
4R,0.000357,0.999565,11.241856,0.556000,11.797851
8R,0.004480,0.983909,12.272257,0.846425,13.118675
16R,0.050581,0.957513,12.790670,1.360237,14.150903
32R,0.130984,0.965891,11.148655,6.757239,17.905890
64R,0.050167,0.996891,6.507297,13.552283,20.059584
4B,0.000000,1.000000,8.627271,0.356240,8.983511
8B,0.000000,1.000000,4.015073,0.656947,4.672020
16B,0.000000,1.000000,1.151294,0.880681,2.031975
32B,0.000000,1.000000,1.165895,1.554885,2.720780
64B,0.005000,0.999796,1.451866,2.541534,3.993399
