query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,2.26772000,1.32451000,3.59223000,200,32.0,32.0
1,0.0,1.0,1.25826000,1.21755000,2.47581000,200,16.0,16.0
2,0.0,1.0,0.86900800,0.74328100,1.61229000,200,8.0,8.0
3,0.0,1.0,1.00920000,0.70109500,1.71030000,200,16.0,16.0
4,0.0,1.0,1.04713000,0.70776400,1.75490000,200,12.0,12.0
5,0.0,1.0,1.19286000,1.79170000,2.98456000,200,20.0,20.0
6,0.0,1.0,0.88649300,0.71329700,1.59979000,200,8.0,8.0
7,0.0,1.0,0.90954400,0.68961400,1.59916000,200,8.0,8.0
8,0.0,1.0,2.30318000,0.78088500,3.08407000,200,36.0,36.0
9,0.0,1.0,0.78665900,0.67904300,1.46570000,200,4.0,4.0
10,0.0,1.0,1.94634000,0.86171600,2.80806000,200,40.0,40.0
11,0.0,1.0,0.99252500,0.75882100,1.75135000,200,16.0,16.0
12,0.0,1.0,1.18126000,0.73553000,1.91679000,200,16.0,16.0
13,0.0,1.0,0.94707800,0.68263100,1.62971000,200,8.0,8.0
14,0.0,1.0,1.49596000,0.71622200,2.21218000,200,16.0,16.0
15,0.0,1.0,1.49995000,1.80168000,3.30162000,200,16.0,16.0
16,0.0,1.0,0.71346100,0.70025400,1.41372000,200,4.0,4.0
17,0.0,1.0,1.34124000,0.78186700,2.12310000,200,28.0,28.0
18,0.0,1.0,1.13613000,0.70803800,1.84416000,200,16.0,16.0
19,0.0,1.0,0.88934800,0.77357000,1.66292000,200,16.0,16.0
20,0.0,1.0,1.06535000,1.16411000,2.22947000,200,8.0,8.0
21,0.0,1.0,0.83064500,0.70678500,1.53743000,200,8.0,8.0
22,0.0,1.0,1.37109000,0.71245200,2.08354000,200,16.0,16.0
23,0.0,1.0,1.52560000,1.33608000,2.86168000,200,24.0,24.0
24,0.0,1.0,1.27729000,1.17342000,2.45071000,200,20.0,20.0
25,0.0,1.0,1.34531000,1.61884000,2.96414000,200,24.0,24.0
26,0.0,1.0,0.73459200,0.70580200,1.44039000,200,4.0,4.0
27,0.0,1.0,0.70927600,0.85418000,1.56346000,200,4.0,4.0
28,0.0,1.0,1.24889000,0.66205000,1.91094000,200,4.0,4.0
29,0.0,1.0,0.80662500,0.67254000,1.47916000,200,8.0,8.0
30,0.0,1.0,1.34681000,0.66769100,2.01450000,200,4.0,4.0
31,0.0,1.0,1.11996000,0.71499200,1.83495000,200,16.0,16.0
32,0.0,1.0,1.37974000,0.78132500,2.16106000,200,32.0,32.0
33,0.0,1.0,1.15925000,1.05368000,2.21292000,200,12.0,12.0
34,0.0,1.0,1.34867000,0.36580700,1.71447000,200,4.0,4.0
35,0.0,1.0,1.45835000,2.19493000,3.65328000,200,32.0,32.0
36,0.0,1.0,1.86994000,1.12686000,2.99680000,200,40.0,40.0
37,0.0,1.0,1.61882000,0.74700000,2.36582000,200,24.0,24.0
38,0.0,1.0,0.72166500,0.69491200,1.41658000,200,4.0,4.0
39,0.0,1.0,0.69592400,0.67814200,1.37407000,200,4.0,4.0
40,0.0,1.0,0.85893300,0.68673500,1.54567000,200,8.0,8.0
41,0.0,1.0,0.81443700,0.67053800,1.48497000,200,8.0,8.0
42,0.0,1.0,0.99559300,0.72972600,1.72532000,200,12.0,12.0
43,0.0,1.0,1.18986000,0.81987800,2.00974000,200,20.0,20.0
44,0.0,1.0,1.84153000,0.80067000,2.64220000,200,40.0,40.0
45,0.0,1.0,1.33492000,1.97244000,3.30736000,200,20.0,20.0
46,0.0,1.0,0.88339200,0.69149400,1.57489000,200,12.0,12.0
47,0.0,1.0,2.28270000,1.08802000,3.37072000,200,48.0,48.0
48,0.0,1.0,2.21167000,0.85651900,3.06819000,200,56.0,56.0
49,0.0,1.0,0.76660900,0.70758700,1.47420000,200,4.0,4.0
50,0.0,1.0,0.88350500,0.68923200,1.57274000,200,8.0,8.0
51,0.0,1.0,0.87269900,0.74542900,1.61813000,200,8.0,8.0
52,0.0,1.0,1.27583000,0.73147900,2.00731000,200,24.0,24.0
53,0.0,1.0,1.44673000,0.73734200,2.18407000,200,24.0,24.0
54,0.0,1.0,1.48501000,0.76546400,2.25048000,200,28.0,28.0
55,0.0,1.0,1.03467000,1.54080000,2.57547000,200,12.0,12.0
56,0.0,1.0,0.64390300,0.92216700,1.56607000,200,4.0,4.0
57,0.0,1.0,0.95615900,0.73748200,1.69364000,200,8.0,8.0
58,0.0,1.0,1.10956000,0.71154200,1.82110000,200,12.0,12.0
59,0.0,1.0,0.74569100,0.71512200,1.46081000,200,4.0,4.0
60,0.0,1.0,0.71522300,0.69511400,1.41034000,200,8.0,8.0
61,0.0,1.0,0.77265700,0.65758300,1.43024000,200,4.0,4.0
