query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,1.18996000,3.62599000,4.81595000,200,4.0,4.0
1,0.0,1.0,2.14659000,2.22254000,4.36913000,200,4.0,4.0
2,0.0,1.0,9.27139000,3.72836000,12.99980000,200,8.0,8.0
3,0.0,1.0,1.91128000,2.47229000,4.38357000,200,4.0,4.0
4,0.0,1.0,2.75546000,2.64185000,5.39731000,200,4.0,4.0
5,0.0,1.0,7.94418000,3.29713000,11.24130000,200,4.0,4.0
6,0.5,0.9795918367346939,7.55169000,6.34905000,13.90070000,200,8.0,4.0
7,0.0,1.0,6.59576000,2.58619000,9.18194000,200,4.0,4.0
8,0.0,1.0,4.95935000,2.74087000,7.70022000,200,4.0,4.0
9,0.0,1.0,14.35410000,3.04717000,17.40130000,200,4.0,4.0
10,0.0,1.0,11.54950000,2.53831000,14.08790000,200,4.0,4.0
11,0.0,1.0,3.80288000,3.00629000,6.80917000,200,4.0,4.0
12,0.5,0.9795918367346939,6.94648000,137.80500000,144.75200000,200,8.0,4.0
13,0.0,1.0,6.20866000,2.80248000,9.01114000,200,4.0,4.0
14,0.0,1.0,4.05969000,8.09634000,12.15600000,200,8.0,8.0
15,0.5,0.9583333333333334,8.79748000,3.54088000,12.33840000,200,16.0,8.0
16,0.0,1.0,8.96954000,2.16140000,11.13090000,200,8.0,8.0
17,0.0,1.0,7.52900000,5.62336000,13.15240000,200,4.0,4.0
18,0.66667,0.9591836734693877,5.35134000,2.51186000,7.86320000,200,12.0,4.0
19,0.0,1.0,7.57939000,2.95454000,10.53390000,200,8.0,8.0
20,0.0,1.0,6.99142000,2.36860000,9.36002000,200,4.0,4.0
21,0.0,1.0,4.53243000,3.32129000,7.85372000,200,8.0,8.0
22,0.0,1.0,2.96321000,3.11214000,6.07535000,200,4.0,4.0
23,0.0,1.0,9.67503000,7.21566000,16.89070000,200,8.0,8.0
24,0.0,1.0,7.87099000,3.16561000,11.03660000,200,8.0,8.0
25,0.5,0.9795918367346939,7.59613000,825.60500000,833.20100000,200,8.0,4.0
26,0.0,1.0,6.03071000,2.87637000,8.90708000,200,4.0,4.0
27,0.0,1.0,6.44344000,2.96474000,9.40818000,200,8.0,8.0
