querySet,FP,FP2,filtime,vertime,total
4R,0.000000,1.000000,107.954677,117.993006,225.947636
8R,0.002762,0.968824,127.556256,43.558637,171.114939
16R,0.025823,0.933704,151.515269,19.235268,170.750558
32R,0.082851,0.962422,127.844243,9.719336,137.563589
64R,0.002500,0.999630,82.798334,4.997190,87.795540
4B,0.000000,1.000000,94.166444,126.492984,220.659322
8B,0.002667,0.969600,109.905465,38.407500,148.312977
16B,0.000345,0.995000,122.570102,11.373296,133.943397
32B,0.100364,0.958159,111.759118,4.865723,116.624822
64B,0.007500,0.999285,96.649624,4.908297,101.557921
