query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,11.08540000,2.30098000,13.38640000,600,140.0,140.0
1,0.2,0.9615384615384616,31.03850000,3.60749000,34.64600000,600,100.0,80.0
2,0.0,1.0,24.68040000,5.49164000,30.17210000,600,240.0,240.0
3,0.0,1.0,19.79930000,2.53189000,22.33120000,600,120.0,120.0
4,0.33333,0.9642857142857143,64.70370000,3.96174000,68.66550000,600,60.0,40.0
5,0.0,1.0,9.69793000,1.35022000,11.04820000,600,20.0,20.0
6,0.0,1.0,11.06060000,4.29576000,15.35640000,600,140.0,140.0
7,0.5,0.9655172413793104,20.64300000,3.79637000,24.43940000,600,40.0,20.0
8,0.0,1.0,17.57150000,3.09759000,20.66910000,600,240.0,240.0
9,0.0,1.0,14.19230000,1.77739000,15.96970000,600,40.0,40.0
10,0.0,1.0,4.64573000,3.41116000,8.05689000,600,120.0,120.0
11,0.0,1.0,30.69440000,3.91767000,34.61210000,600,240.0,240.0
12,0.0,1.0,237.54500000,3.76503000,241.31000000,600,60.0,60.0
13,0.0,1.0,7.65945000,1.91082000,9.57027000,600,60.0,60.0
14,0.0,1.0,668.83700000,50.61840000,719.45600000,600,560.0,560.0
15,0.0,1.0,31.69940000,2.83629000,34.53570000,600,200.0,200.0
16,0.0,1.0,5.12549000,1.69920000,6.82469000,600,80.0,80.0
17,0.0,1.0,9.36425000,1.69679000,11.06100000,600,60.0,60.0
18,0.0,1.0,9.85060000,3.29368000,13.14430000,600,100.0,100.0
19,0.14286,0.9583333333333334,249.72600000,5.93986000,255.66600000,600,140.0,120.0
20,0.0,1.0,10.54200000,1.78587000,12.32790000,600,80.0,80.0
21,0.16667,0.96,208.81800000,3.02810000,211.84600000,600,120.0,100.0
22,0.0,1.0,1.85669000,1.35680000,3.21349000,600,20.0,20.0
23,0.0,1.0,3.43051000,1.62605000,5.05656000,600,20.0,20.0
24,0.07143,0.9411764705882353,281.38300000,10.54650000,291.93000000,600,280.0,260.0
25,0.0,1.0,10.95960000,4.44033000,15.40000000,600,20.0,20.0
26,0.0,1.0,268.26100000,6.62489000,274.88600000,600,340.0,340.0
27,0.0,1.0,23.47410000,3.47105000,26.94510000,600,180.0,180.0
28,0.0,1.0,34.74220000,2.23076000,36.97290000,600,120.0,120.0
29,0.5,0.9655172413793104,20.73310000,5.29083000,26.02400000,600,40.0,20.0
30,0.0,1.0,287.60300000,2.65848000,290.26200000,600,20.0,20.0
31,0.07143,0.9411764705882353,313.28400000,7.04064000,320.32400000,600,280.0,260.0
32,0.0,1.0,252.31000000,3.95014000,256.26000000,600,60.0,60.0
33,0.5,0.9655172413793104,43.74500000,6.77477000,50.51980000,600,40.0,20.0
34,0.0,1.0,55.46870000,2.32596000,57.79470000,600,120.0,120.0
35,0.33333,0.9230769230769231,249.83900000,4.32267000,254.16200000,600,120.0,80.0
36,0.18182,0.6666666666666666,492.93900000,42.97010000,535.90900000,600,440.0,360.0
37,0.0,1.0,1.76545000,1.63437000,3.39983000,600,40.0,40.0
38,0.0,1.0,4.82570000,1.91675000,6.74245000,600,120.0,120.0
39,0.0,1.0,18.70700000,3.33988000,22.04680000,600,280.0,280.0
40,0.25,0.9629629629629629,203.64800000,5.77350000,209.42200000,600,80.0,60.0
41,0.33333,0.9642857142857143,50.09510000,2.29192000,52.38700000,600,60.0,40.0
42,0.0,1.0,27.55520000,2.56209000,30.11730000,600,180.0,180.0
43,0.0,1.0,185.38400000,1.89386000,187.27800000,600,20.0,20.0
44,0.07692,0.6666666666666666,379.65900000,14.04600000,393.70500000,600,520.0,480.0
45,0.0,1.0,9.40392000,1.90645000,11.31040000,600,120.0,120.0
46,0.88889,0.7241379310344828,297.32600000,5.92829000,303.25400000,600,180.0,20.0
47,0.0,1.0,9.08491000,2.50316000,11.58810000,600,200.0,200.0
48,0.0,1.0,22.30780000,3.36006000,25.66790000,600,80.0,80.0
49,0.0,1.0,15.32960000,2.72612000,18.05570000,600,240.0,240.0
50,0.0,1.0,4.50315000,2.20054000,6.70369000,600,100.0,100.0
51,0.0,1.0,2.98160000,1.78267000,4.76427000,600,20.0,20.0
52,0.0,1.0,584.47900000,36.61660000,621.09500000,600,560.0,560.0
53,0.0,1.0,217.89800000,1.81681000,219.71500000,600,20.0,20.0
54,0.0,1.0,20.70690000,3.24641000,23.95330000,600,240.0,240.0
55,0.0,1.0,59.41280000,3.88437000,63.29710000,600,100.0,100.0
56,0.0,1.0,5.41579000,1.81022000,7.22601000,600,80.0,80.0
57,0.1875,0.8235294117647058,299.60600000,8.90034000,308.50700000,600,320.0,260.0
58,0.0,1.0,1.44558000,1.28690000,2.73249000,600,20.0,20.0
59,0.0,1.0,7.40087000,4.64441000,12.04530000,600,100.0,100.0
60,0.0,1.0,10.61240000,1.70592000,12.31830000,600,80.0,80.0
61,0.0,1.0,38.50870000,3.50806000,42.01680000,600,220.0,220.0
62,0.0,1.0,23.70940000,4.03333000,27.74270000,600,240.0,240.0
63,0.0,1.0,1.09650000,2.23830000,3.33480000,600,20.0,20.0
64,0.14286,0.9583333333333334,271.51100000,5.21290000,276.72400000,600,140.0,120.0
65,0.33333,0.9230769230769231,262.36300000,3.65824000,266.02100000,600,120.0,80.0
66,0.0,1.0,12.62510000,4.94789000,17.57300000,600,120.0,120.0
67,0.0,1.0,817.69900000,242.53400000,1060.23000000,600,560.0,560.0
68,0.0,1.0,4.53268000,3.98201000,8.51469000,600,20.0,20.0
69,0.0,1.0,50.59940000,7.75466000,58.35400000,600,420.0,420.0
70,0.0,1.0,19.32740000,3.01413000,22.34160000,600,220.0,220.0
71,0.57143,0.8518518518518519,288.69000000,3.45781000,292.14700000,600,140.0,60.0
72,0.0,1.0,2.42614000,2.69323000,5.11937000,600,20.0,20.0
73,0.0,1.0,30.40160000,3.97049000,34.37200000,600,180.0,180.0
74,0.0,1.0,279.17900000,5.36103000,284.54000000,600,400.0,400.0
75,0.0,1.0,5.57217000,1.30249000,6.87466000,600,20.0,20.0
76,0.0,1.0,19.39090000,5.07074000,24.46170000,600,240.0,240.0
77,0.70833,0.2608695652173913,608.98300000,136.43100000,745.41500000,600,480.0,140.0
78,0.0,1.0,2.65125000,1.56907000,4.22033000,600,20.0,20.0
79,0.09091,0.95,221.61500000,7.95041000,229.56500000,600,220.0,200.0
80,0.0,1.0,245.18100000,3.58707000,248.76800000,600,240.0,240.0
81,0.5625,0.6086956521739131,313.65400000,16.95170000,330.60600000,600,320.0,140.0
82,0.0,1.0,2.10794000,4.06740000,6.17534000,600,20.0,20.0
83,0.0,1.0,14.22920000,1.48745000,15.71660000,600,20.0,20.0
84,0.0,1.0,814.45500000,88.34070000,902.79600000,600,560.0,560.0
85,0.0,1.0,10.95720000,4.28817000,15.24540000,600,60.0,60.0
86,0.40909,0.47058823529411764,280.25900000,11.46230000,291.72200000,600,440.0,260.0
87,0.0,1.0,23.63750000,3.66873000,27.30620000,600,260.0,260.0
88,0.0,1.0,59.84490000,1.72480000,61.56970000,600,40.0,40.0
89,0.0,1.0,26.05590000,3.70703000,29.76290000,600,20.0,20.0
90,0.0625,0.9333333333333333,264.79800000,7.31197000,272.11000000,600,320.0,300.0
91,0.0,1.0,5.86687000,1.84541000,7.71228000,600,80.0,80.0
92,0.0,1.0,308.49500000,7.18063000,315.67600000,600,300.0,300.0
93,0.0,1.0,13.99210000,2.53063000,16.52270000,600,240.0,240.0
94,0.0,1.0,362.52400000,9.75900000,372.28300000,600,500.0,500.0
95,0.66667,0.9310344827586207,249.23200000,3.71250000,252.94500000,600,60.0,20.0
96,0.0,1.0,11.79290000,2.32025000,14.11320000,600,220.0,220.0
97,0.0,1.0,12.13570000,2.42091000,14.55670000,600,180.0,180.0
98,0.0,1.0,267.77500000,1.83688000,269.61200000,600,20.0,20.0
