query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,26.19790000,2.54878000,28.74670000,600,280.0,280.0
1,0.0,1.0,250.07000000,71.39080000,321.46100000,600,600.0,600.0
2,0.0,1.0,243.64200000,138.91900000,382.56100000,600,600.0,600.0
3,0.0,1.0,124.40200000,9.08251000,133.48400000,600,580.0,580.0
4,0.0,1.0,90.09670000,2.56118000,92.65790000,600,320.0,320.0
5,0.0,1.0,32.82950000,3.79389000,36.62340000,600,280.0,280.0
6,0.0,1.0,84.70470000,2.07145000,86.77620000,600,480.0,480.0
7,0.0,1.0,5.00862000,0.80674200,5.81536000,600,260.0,260.0
8,0.0,1.0,247.31500000,70.38750000,317.70200000,600,600.0,600.0
9,0.0,1.0,26.06630000,2.03261000,28.09890000,600,280.0,280.0
10,0.0,1.0,199.31500000,201.36800000,400.68300000,600,560.0,560.0
11,0.0,1.0,243.62600000,138.18900000,381.81500000,600,600.0,600.0
12,0.0,1.0,243.32100000,100.47100000,343.79200000,600,600.0,600.0
13,0.0,1.0,79.36110000,2.65529000,82.01640000,600,460.0,460.0
14,0.0,1.0,2.79890000,0.55937700,3.35828000,600,220.0,220.0
15,0.0,1.0,32.01950000,3.15879000,35.17830000,600,280.0,280.0
16,0.0,1.0,3.60932000,1.28940000,4.89872000,600,240.0,240.0
17,0.0,1.0,47.48050000,3.01510000,50.49560000,600,280.0,280.0
18,0.0,1.0,32.76090000,2.51051000,35.27140000,600,280.0,280.0
19,0.0,1.0,32.78340000,4.37198000,37.15540000,600,280.0,280.0
20,0.0,1.0,3.85273000,0.73002600,4.58276000,600,240.0,240.0
21,0.0,1.0,103.45800000,2.99645000,106.45500000,600,540.0,540.0
22,0.0,1.0,223.01600000,189.80600000,412.82200000,600,560.0,560.0
23,0.0,1.0,103.50200000,3.06197000,106.56400000,600,540.0,540.0
24,0.0,1.0,15.28700000,0.95707000,16.24410000,600,280.0,280.0
