querySet,FP,FP2,filtime,vertime,total
4R,0.001582,0.981667,10.333688,1.239128,11.572817
8R,0.012288,0.954589,15.187836,1.340126,16.527962
16R,0.050206,0.916669,20.988391,73.641799,12094.63013
32R,0.085026,0.952738,32.766879,5337.84888,29370.61419
64R,0.305329,0.978129,37.029558,14499.67643,164536.7047
4B,0.001608,0.986667,8.977081,0.973614,9.950693
8B,0.002365,0.991731,8.247338,0.85141,9.098747
16B,0.005854,0.994721,8.632525,1.294614,9.927139
32B,0.027402,0.986813,8.677327,2.246377,10.923703
64B,0.072905,0.982913,7.342314,189.760427,6197.102727
