query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,16.19220000,1.12637000,17.31850000,20,20.0,20.0
1,0.0,1.0,10.12600000,1.32926000,11.45520000,20,20.0,20.0
2,0.0,1.0,0.10121000,0.19781200,0.29902200,20,3.0,3.0
3,0.0,1.0,2.48126000,0.30913900,2.79040000,20,5.0,5.0
4,0.0,1.0,13.87370000,1.12375000,14.99750000,20,19.0,19.0
5,0.0,1.0,3.73525000,1.16749000,4.90274000,20,5.0,5.0
6,0.05263,0.5,11.54180000,0.85716400,12.39900000,20,19.0,18.0
7,0.0,1.0,21.47200000,5.48316000,26.95510000,20,20.0,20.0
8,0.0,1.0,3.94094000,0.40423900,4.34518000,20,18.0,18.0
9,0.0,1.0,14.24620000,0.47711200,14.72330000,20,20.0,20.0
10,0.0,1.0,3.95302000,0.27024700,4.22327000,20,7.0,7.0
11,0.0,1.0,3.93773000,0.26919500,4.20693000,20,6.0,6.0
12,0.05,0.0,11.23300000,1.20087000,12.43390000,20,20.0,19.0
13,0.0,1.0,5.31293000,0.49621000,5.80914000,20,8.0,8.0
14,0.0,1.0,1.23052000,1.24203000,2.47255000,20,5.0,5.0
15,0.0,1.0,10.70630000,0.71257500,11.41890000,20,17.0,17.0
16,0.0,1.0,7.74757000,0.41375700,8.16133000,20,20.0,20.0
17,0.0,1.0,2.09185000,0.54547300,2.63732000,20,8.0,8.0
18,0.0,1.0,3.47106000,0.30544100,3.77651000,20,18.0,18.0
19,0.0,1.0,17.98860000,1.39112000,19.37970000,20,20.0,20.0
20,0.0,1.0,15.90950000,1.39718000,17.30670000,20,20.0,20.0
21,0.0,1.0,19.09660000,2.03309000,21.12970000,20,20.0,20.0
22,0.0,1.0,19.13850000,1.63987000,20.77840000,20,20.0,20.0
23,0.0,1.0,13.92620000,0.89791800,14.82410000,20,20.0,20.0
24,0.0,1.0,4.48178000,0.54856900,5.03035000,20,10.0,10.0
