query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,1.41826000,2.94335000,4.36161000,20,1.0,1.0
1,0.33333,0.9444444444444444,9.93735000,1.85086000,11.78820000,20,3.0,2.0
2,0.0,1.0,1.53475000,2.23319000,3.76794000,20,1.0,1.0
3,0.0,1.0,1.51354000,2.68541000,4.19895000,20,2.0,2.0
4,0.0,1.0,0.35114600,5.20572000,5.55686000,20,1.0,1.0
5,0.0,1.0,18.82440000,3.02490000,21.84930000,20,4.0,4.0
6,0.0,1.0,0.49252200,2.51215000,3.00467000,20,1.0,1.0
7,0.0,1.0,6.15857000,3.19408000,9.35264000,20,4.0,4.0
8,0.0,1.0,3.40876000,1.28755000,4.69632000,20,2.0,2.0
9,0.0,1.0,2.34771000,3.52839000,5.87610000,20,2.0,2.0
10,0.0,1.0,3.55484000,5.97818000,9.53302000,20,2.0,2.0
11,0.0,1.0,0.39367700,1.29690000,1.69058000,20,1.0,1.0
12,0.0,1.0,3.86562000,1.95262000,5.81824000,20,2.0,2.0
13,0.0,1.0,0.44306200,1.14073000,1.58379000,20,1.0,1.0
14,0.0,1.0,0.32363900,2.58802000,2.91166000,20,1.0,1.0
15,0.2,0.9375,33.95750000,4.54372000,38.50130000,20,5.0,4.0
16,0.14286,0.9285714285714286,24.44430000,8.85987000,33.30420000,20,7.0,6.0
17,0.25,0.9411764705882353,8.46308000,3.47783000,11.94090000,20,4.0,3.0
18,0.0,1.0,1.58822000,1.20556000,2.79378000,20,1.0,1.0
19,0.6,0.8333333333333334,18.94740000,3.72332000,22.67070000,20,5.0,2.0
20,0.0,1.0,3.02387000,3.16136000,6.18522000,20,2.0,2.0
21,0.0,1.0,6.30116000,2.55476000,8.85592000,20,2.0,2.0
22,0.0,1.0,8.19406000,3.77343000,11.96750000,20,3.0,3.0
23,0.0,1.0,4.21862000,2.81216000,7.03078000,20,2.0,2.0
24,0.0,1.0,2.21752000,33.68400000,35.90150000,20,2.0,2.0
25,0.0,1.0,1.56620000,0.84048600,2.40668000,20,1.0,1.0
26,0.5,0.9473684210526315,2.82694000,0.95704400,3.78398000,20,2.0,1.0
27,0.0,1.0,5.05085000,3.26434000,8.31519000,20,4.0,4.0
28,0.0,1.0,0.34181200,2.72874000,3.07055000,20,1.0,1.0
29,0.0,1.0,21.10890000,3.99799000,25.10690000,20,4.0,4.0
30,0.0,1.0,8.73963000,6.08071000,14.82030000,20,5.0,5.0
31,0.0,1.0,34.74280000,3.47769000,38.22040000,20,3.0,3.0
32,0.14286,0.9285714285714286,30.25540000,11.65960000,41.91500000,20,7.0,6.0
33,0.0,1.0,3.15718000,3.03493000,6.19211000,20,4.0,4.0
34,0.0,1.0,0.63493300,1.62801000,2.26295000,20,1.0,1.0
35,0.0,1.0,11.86510000,3.61260000,15.47780000,20,8.0,8.0
36,0.0,1.0,13.07950000,2.43302000,15.51250000,20,2.0,2.0
37,0.0,1.0,3.24236000,2.25290000,5.49526000,20,1.0,1.0
38,0.0,1.0,9.01788000,1.74079000,10.75870000,20,4.0,4.0
39,0.33333,0.9444444444444444,8.05263000,2.98968000,11.04230000,20,3.0,2.0
40,0.18182,0.8181818181818182,11.20100000,4.04244000,15.24340000,20,11.0,9.0
41,0.0,1.0,0.95116000,6.76768000,7.71884000,20,1.0,1.0
42,0.0,1.0,0.95138400,3.45569000,4.40707000,20,1.0,1.0
43,0.0,1.0,3.62652000,3.03437000,6.66089000,20,3.0,3.0
44,0.0,1.0,0.70328900,1.18211000,1.88540000,20,1.0,1.0
45,0.0,1.0,0.44286200,1.31761000,1.76047000,20,1.0,1.0
46,0.0,1.0,0.47757200,1.01887000,1.49644000,20,1.0,1.0
47,0.0,1.0,1.13627000,2.66204000,3.79831000,20,1.0,1.0
48,0.0,1.0,1.00279000,1.36858000,2.37136000,20,1.0,1.0
49,0.0,1.0,1.00366000,1.73519000,2.73886000,20,1.0,1.0
50,0.0,1.0,2.03076000,3.35759000,5.38834000,20,1.0,1.0
51,0.0,1.0,21.46550000,3.15668000,24.62220000,20,6.0,6.0
52,0.0,1.0,0.38815800,1.06739000,1.45555000,20,1.0,1.0
53,0.5,0.8888888888888888,6.57870000,2.06694000,8.64563000,20,4.0,2.0
54,0.0,1.0,12.10050000,10.52790000,22.62840000,20,4.0,4.0
55,0.0,1.0,0.44423400,3.20073000,3.64497000,20,1.0,1.0
56,0.0,1.0,16.10150000,17941.20000000,17957.30000000,20,4.0,4.0
57,0.0,1.0,12.29030000,4.24653000,16.53680000,20,4.0,4.0
58,0.0,1.0,3.27672000,2.85233000,6.12905000,20,1.0,1.0
59,0.0,1.0,6.05411000,3.30360000,9.35771000,20,5.0,5.0
60,0.0,1.0,2.93542000,2.70235000,5.63777000,20,2.0,2.0
61,0.5,0.9473684210526315,4.04644000,1.16688000,5.21332000,20,2.0,1.0
62,0.0,1.0,3.37756000,2.74798000,6.12554000,20,2.0,2.0
63,0.0,1.0,8.84814000,3.52732000,12.37550000,20,10.0,10.0
64,0.0,1.0,2.42882000,2.61008000,5.03891000,20,2.0,2.0
65,0.0,1.0,4.74591000,2.91767000,7.66359000,20,4.0,4.0
66,0.0,1.0,7.74852000,1.58025000,9.32877000,20,4.0,4.0
67,0.33333,0.875,17.67370000,4.75596000,22.42970000,20,6.0,4.0
68,0.0,1.0,5.07928000,1.41708000,6.49636000,20,2.0,2.0
69,0.11111,0.9166666666666666,37.23610000,47.89320000,85.12930000,20,9.0,8.0
70,0.33333,0.9444444444444444,5.56268000,1.36761000,6.93029000,20,3.0,2.0
71,0.0,1.0,2.40173000,1.95073000,4.35246000,20,1.0,1.0
72,0.0,1.0,1.30989000,1.68829000,2.99817000,20,1.0,1.0
73,0.0,1.0,0.57040700,1.99576000,2.56617000,20,1.0,1.0
74,0.0,1.0,0.50344400,1.73946000,2.24290000,20,1.0,1.0
75,0.0,1.0,5.23501000,4.47457000,9.70957000,20,10.0,10.0
76,0.0,1.0,1.47533000,2.28536000,3.76068000,20,1.0,1.0
77,0.5,0.9473684210526315,5.48909000,2.65348000,8.14256000,20,2.0,1.0
78,0.0,1.0,1.75145000,1.53202000,3.28347000,20,1.0,1.0
79,0.2,0.9375,9.99753000,3.04517000,13.04270000,20,5.0,4.0
80,0.28571,0.8666666666666667,35.77310000,4.39539000,40.16840000,20,7.0,5.0
81,0.0,1.0,0.45282000,1.14438000,1.59720000,20,1.0,1.0
82,0.16667,0.9333333333333333,59.64700000,8.28233000,67.92930000,20,6.0,5.0
83,0.0,1.0,0.41120900,1.63696000,2.04817000,20,1.0,1.0
84,0.0,1.0,2.07503000,1.62773000,3.70276000,20,2.0,2.0
85,0.0,1.0,8.87640000,1.82242000,10.69880000,20,3.0,3.0
86,0.0,1.0,0.34576700,2.70323000,3.04899000,20,1.0,1.0
87,0.0,1.0,0.37810900,1.77055000,2.14866000,20,1.0,1.0
88,0.2,0.9375,26.09870000,666.28200000,692.38100000,20,5.0,4.0
89,0.0,1.0,5.38784000,2.15669000,7.54453000,20,2.0,2.0
90,0.0,1.0,3.41717000,3.86381000,7.28098000,20,3.0,3.0
91,1.0,0.0,0.00000000,0.00000000,600000.00000000,20,0.0,0.0
91,1.0,1.0,0.00000000,0.00000000,600000.00000000,20,0.0,0.0
92,0.0,1.0,1.49892000,4.43010000,5.92902000,20,1.0,1.0
93,0.33333,0.9444444444444444,12.52230000,2.67140000,15.19370000,20,3.0,2.0
94,0.0,1.0,3.33483000,3.06712000,6.40195000,20,4.0,4.0
95,0.0,1.0,3.39097000,3.50666000,6.89762000,20,3.0,3.0
96,0.0,1.0,3.91264000,2.78965000,6.70230000,20,3.0,3.0
97,0.0,1.0,0.80820400,2.25809000,3.06630000,20,1.0,1.0
98,0.0,1.0,0.46586400,2.43118000,2.89704000,20,1.0,1.0
99,0.14286,0.9285714285714286,15.18540000,3.67090000,18.85630000,20,7.0,6.0
